dataset_split,count,baseline_rmse_nm,force_domain_corrected_rmse_nm,variant_b_corrected_rmse_nm,variant_c_corrected_rmse_nm,force_domain_minus_b_rmse_nm,force_domain_minus_c_rmse_nm,force_domain_improvement_pct
aux_downweighted_validation,14448,0.05126637392308135,0.048819706958314515,0.048945040795565886,0.028529439179585198,-0.0001253338372513707,0.020290267778729318,4.772459562749157
diag_validation_only,11108,0.0846209251204878,0.08441017836709906,0.08441199698509007,0.03876675590868194,-1.8186179910062439e-06,0.04564342245841712,0.24904803757305366
open_floor_fit_downweighted,31165,0.043194073119807955,0.04150718685740355,0.041880095058734225,0.033092937468878494,-0.00037290820133067254,0.008414249388525058,3.9053651127678193
open_floor_validation_only,14542,0.01693070910006944,0.01139376781450519,0.011371864567424441,0.014417143137851248,2.1903247080748423e-05,-0.0030233753233460583,32.703540370565705
primary_open_floor_fit_authoritative,47317,0.036866176895009706,0.027907821180421354,0.028527902105821207,0.024120243843366647,-0.0006200809253998525,0.0037875773370547074,24.299660201003853
