dataset_split,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_pct,mae_improvement_pct,median_predicted_opposing_scrub_nm,median_residual_opposes_yaw_before_nm,median_residual_opposes_yaw_after_nm
aux_downweighted_validation,14448,13,0.05126637392308135,0.048819706958314515,0.03305637759772979,0.03033412567171929,0.016359514999999998,0.013156324058240076,-0.0012553224999999999,-0.0009619941258581148,4.772459562749157,8.235179181270764,0.0,-0.009318223,-0.009798903000000001
diag_validation_only,11108,3,0.0846209251204878,0.08441017836709906,0.0738060716588945,0.07330119756372155,0.082360023,0.08201175599999999,-0.006359523000000001,-0.005855042499999999,0.24904803757305366,0.6840549616382382,0.0,-0.0819618025,-0.08199009900000001
open_floor_fit_downweighted,31165,9,0.043194073119807955,0.04150718685740355,0.027849684910123535,0.025756977605489128,0.013314394,0.010721516758582836,0.000637863,0.00021999473146873866,3.9053651127678193,7.514294367738771,0.0,-0.001947729,-0.00576366
open_floor_validation_only,14542,9,0.01693070910006944,0.01139376781450519,0.010368821404827396,0.00719162758902973,0.005201232,0.004448411404882633,-0.000858939,-0.0002380840885736047,32.703540370565705,30.641802879529436,7.447886300374449e-18,0.0,-0.0011011095000000074
primary_open_floor_fit_authoritative,47317,15,0.036866176895009706,0.027907821180421354,0.025480195736437217,0.01785130137370993,0.016044602,0.010742432409481521,0.001648731,0.0011727481386140286,24.299660201003853,29.94048570756388,1.433736159075e-16,0.002239467,-0.00209828166801394
