vf_mps,yaw_rate_radps,variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,left_command,right_command,lr_delta_command,left_surface_mps,right_surface_mps,nominal_yield_nm,command_outside_unit
0.0,0.2,ForceDomainStribeck_projected_force,0.00295885,0.0007546665510528575,0.0037135165510528575,0.20841836009822595,-0.20841836009822595,0.4168367201964519,0.0084635,-0.0084635,0.11096910450167499,False
0.0,0.844444444,ForceDomainStribeck_projected_force,0.012492922215646997,0.06701558192517154,0.07950850414081853,0.6401922853218069,-0.6401922853218069,1.2803845706436139,0.03573477775897,-0.03573477775897,0.11096910450167499,False
0.0,1.488888889,ForceDomainStribeck_projected_force,0.022026994446088247,0.0672718133179291,0.08929880776401734,0.7009002569876271,-0.7009002569876271,1.4018005139752543,0.0630060555602575,-0.0630060555602575,0.11096910450167499,False
0.0,2.133333333,ForceDomainStribeck_projected_force,0.03156106666173525,0.06730213901858006,0.09886320568031531,0.7602843262072644,-0.7602843262072644,1.5205686524145288,0.09027733331922749,-0.09027733331922749,0.11096910450167499,False
0.0,2.777777778,ForceDomainStribeck_projected_force,0.041095138892176496,0.06725706312962479,0.10835220202180129,0.8192265104955694,-0.8192265104955694,1.6384530209911388,0.117548611120515,-0.117548611120515,0.11096910450167499,False
0.0,3.422222222,ForceDomainStribeck_projected_force,0.050629211107823494,0.06717878287838905,0.11780799398621254,0.8779741031658368,-0.8779741031658368,1.7559482063316736,0.144819888879485,-0.144819888879485,0.11096910450167499,False
0.0,4.066666667,ForceDomainStribeck_projected_force,0.060163283338264734,0.06708239087352912,0.12724567421179384,0.9366155534353272,-0.9366155534353272,1.8732311068706544,0.17209116668077248,-0.17209116668077248,0.11096910450167499,False
0.0,4.711111111,ForceDomainStribeck_projected_force,0.06969735555391174,0.06696976068186748,0.1366671162357792,0.9951618410097548,-0.9951618410097548,1.9903236820195096,0.19936244443974252,-0.19936244443974252,0.11096910450167499,False
0.0,5.355555556,ForceDomainStribeck_projected_force,0.07923142778435298,0.06684105707828064,0.14607248486263363,1.0536139317229316,-1.0536139317229316,2.107227863445863,0.22663372224102998,-0.22663372224102998,0.11096910450167499,True
0.0,6.0,ForceDomainStribeck_projected_force,0.0887655,0.06669646733422586,0.15546196733422585,1.1119729228806043,-1.1119729228806043,2.2239458457612087,0.253905,-0.253905,0.11096910450167499,True
0.03,0.2,ForceDomainStribeck_projected_force,0.00295885,0.0007518945275166915,0.003710744527516691,0.19631900166648847,0.150757395340355,0.04556160632613346,0.0384635,0.0215365,0.11096910450167499,False
0.03,0.844444444,ForceDomainStribeck_projected_force,0.012492922215646997,0.06686086250378148,0.07935378471942847,0.6429517022179839,-0.7098012431675937,1.3527529453855776,0.06573477775896999,-0.005734777758970001,0.11096910450167499,False
0.03,1.488888889,ForceDomainStribeck_projected_force,0.022026994446088247,0.06712221539365604,0.08914920983974428,0.7036896880106175,-0.6963574124733848,1.4000471004840023,0.0930060555602575,-0.0330060555602575,0.11096910450167499,False
0.03,2.133333333,ForceDomainStribeck_projected_force,0.03156106666173525,0.06715422670494305,0.0987152933666783,0.7630836356174202,-0.7557513600801874,1.5188349956976075,0.12027733331922749,-0.060277333319227494,0.11096910450167499,False
0.03,2.777777778,ForceDomainStribeck_projected_force,0.041095138892176496,0.06710982209592074,0.10820496098809723,0.8220297538884214,-0.8146974783511886,1.6367272322396098,0.14754861112051498,-0.087548611120515,0.11096910450167499,False
0.03,3.422222222,ForceDomainStribeck_projected_force,0.050629211107823494,0.0670320093317255,0.11766122043954899,0.8807800862293351,-0.8734478106921024,1.7542278969214375,0.174819888879485,-0.114819888879485,0.11096910450167499,False
0.03,4.066666667,ForceDomainStribeck_projected_force,0.060163283338264734,0.06693603776423754,0.12709932110250227,0.9394240004386291,-0.9320917249013964,1.8715157253400254,0.20209116668077248,-0.14209116668077248,0.11096910450167499,False
0.03,4.711111111,ForceDomainStribeck_projected_force,0.06969735555391174,0.06682389807446602,0.13652125362837775,0.9979731625604,-0.9906408870231671,1.9886140495835671,0.22936244443974252,-0.16936244443974252,0.11096910450167499,False
0.03,5.355555556,ForceDomainStribeck_projected_force,0.07923142778435298,0.06669575396633103,0.145927181750684,1.0564285321522051,-1.0490962566149724,2.1055247887671777,0.25663372224103,-0.19663372224102998,0.11096910450167499,True
