role,activation_source,yield_geometry,equivalent_activation_nm,utilization_activation,stribeck_speed_mps,speed_fade_mps,rel_weight,static_extra_nm,sliding_nm,weighted_train_opposes_rmse_nm,primary_corrected_rmse_nm,open_floor_validation_corrected_rmse_nm,in_place_left_command,in_place_right_command,in_place_extra_opposing_yaw_torque_nm
selected_projected_force_domain,projected_force_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.025,0.64,0.75,0.0,0.06741675635026155,0.024088350221216342,0.027907821180421354,0.01139376781450519,0.6550644654532793,-0.6550644654532793,0.06711472031698633
rejected_request_moment_command_gate,request_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.1,0.64,0.75,0.0028707314261316157,0.06252832523970436,0.0243401682965182,0.028524072603624426,0.011372543472361286,0.6425685451006024,-0.6425685451006024,0.06498246371468605
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.05,0.45057586275507244,0.025,0.64,0.75,0.0,0.09097274402408607,0.023988612634377668,0.027582923788446838,0.011514574568393774,0.7880218010058259,-0.7880218010058259,0.08980205734818295
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.05,0.45057586275507244,0.05,0.64,0.75,0.0,0.09097274402408606,0.023988612634377668,0.027582923788446838,0.011514574568393774,0.7880218010058256,-0.7880218010058256,0.08980205734818293
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.05,0.45057586275507244,0.1,0.64,0.75,0.0,0.09097274402408607,0.023988612634377668,0.027582923788446838,0.011514574568393774,0.7880218010058259,-0.7880218010058259,0.08980205734818295
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.05,0.4254710651239613,0.025,0.64,0.75,0.0,0.09097274402408605,0.023988612634377668,0.027582923788446838,0.011514574568393774,0.7880218010058256,-0.7880218010058256,0.08980205734818292
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.05,0.4254710651239613,0.05,0.64,0.75,0.0,0.09097274402408605,0.023988612634377668,0.027582923788446838,0.011514574568393774,0.7880218010058256,-0.7880218010058256,0.08980205734818292
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.05,0.4254710651239613,0.1,0.64,0.75,0.0,0.09097274402408603,0.023988612634377668,0.02758292378844684,0.011514574568393774,0.7880218010058255,-0.7880218010058255,0.0898020573481829
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.025,0.64,0.75,0.0,0.06741675635026155,0.024088350221216342,0.027907821180421354,0.01139376781450519,0.6550644654532793,-0.6550644654532793,0.06711472031698633
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.05,0.64,0.75,0.0,0.06741675635026155,0.024088350221216342,0.027907821180421354,0.01139376781450519,0.6550644654532793,-0.6550644654532793,0.06711472031698633
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.1,0.64,0.75,0.0,0.06741675635026156,0.024088350221216342,0.027907821180421354,0.01139376781450519,0.6550644654532795,-0.6550644654532795,0.06711472031698634
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.035,0.29782974558677294,0.025,0.64,0.75,0.0,0.06741675635026155,0.024088350221216342,0.027907821180421354,0.01139376781450519,0.6550644654532793,-0.6550644654532793,0.06711472031698633
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.035,0.29782974558677294,0.05,0.64,0.75,0.0,0.06741675635026155,0.024088350221216342,0.027907821180421354,0.01139376781450519,0.6550644654532793,-0.6550644654532793,0.06711472031698633
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.035,0.29782974558677294,0.1,0.64,0.75,0.0,0.06741675635026155,0.024088350221216342,0.027907821180421354,0.01139376781450519,0.6550644654532793,-0.6550644654532793,0.06711472031698633
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.05,0.45057586275507244,0.1,0.64,1.25,0.0,0.09298815611313911,0.02413050418125726,0.02780534937164806,0.011529501641722515,0.8005252663304036,-0.8005252663304036,0.09193560139596108
