group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_corrected_rmse_nm,median_support_nm,rmse_improvement_pct
primary_open_floor_fit_authoritative:entry,9719,15,0.045837011822076036,0.04526628127827389,0.03356303268350653,0.03292942657070802,0.024289024,0.023625705039178047,0.002079796,0.002144957882655888,0.043914767402198275,0.000454780109356425,1.245130345794645
primary_open_floor_fit_authoritative:plateau,26778,15,0.02877127129678063,0.028342116754778886,0.01901283047434461,0.018697265954367503,0.011055656,0.010926714543942596,0.001152246,0.0012809680126859187,0.026962865236905914,0.00011463693288157677,1.4916078527602759
primary_open_floor_fit_authoritative:exit,10820,15,0.044806900200245255,0.04430923442107103,0.03422566844436229,0.03357436992879259,0.0273970075,0.0264310301182223,0.004929683,0.004908818621953834,0.04662567122405524,0.0008452021908738069,1.110690043163268
open_floor_fit_downweighted:entry,8341,9,0.05617769021464853,0.05807905712390724,0.0415421622455341,0.04246376261394199,0.030788281,0.02987413580225969,0.001756669,0.0017950478803143485,0.05172333766856363,0.0010474110823545325,-3.384558713599306
open_floor_fit_downweighted:plateau,14651,9,0.024365235700422493,0.02445841563986339,0.013101952217527814,0.012928379951341206,0.005601714,0.005634313917924283,0.000276839,0.0003240535670519496,0.029932720635481344,8.190863859974077e-05,-0.3824298709299153
open_floor_fit_downweighted:exit,8173,9,0.053191308370772995,0.054896780702520416,0.04031268236816347,0.04109749168796394,0.031938671,0.031080651190445854,0.002346486,0.0021393830303709227,0.05018094424342841,0.0011786192417139337,-3.2062988935322485
open_floor_validation_only:entry,2104,9,0.022224834525144614,0.024099091623383268,0.014874971672053231,0.016042840490469796,0.008434416,0.008971156573371355,-0.0029512495,-0.0017558418448191603,0.020384323637253593,0.0008696592129399628,-8.4331655928334
open_floor_validation_only:plateau,10533,9,0.013256838243914581,0.014610856533042435,0.007978205793411184,0.008486653811274069,0.004279471,0.004363830344549706,-0.000330051,-0.0001772620890943587,0.014877296588532067,0.00028509674604286457,-10.213734709702763
open_floor_validation_only:exit,1905,9,0.025901922754757487,0.029990502930623678,0.01860998364776903,0.020774651306375576,0.012153925,0.012151651519768766,-0.004435259,-0.0030547786806355685,0.02510521159588411,0.002089989998403299,-15.784852014954097
diag_validation_only:entry,3215,3,0.10590823322237675,0.122090415913294,0.10058718607029549,0.11548372800759714,0.110339143,0.1261004220633189,-0.026745843,-0.029111841452352086,0.12283725755952503,0.014512760359463433,-15.279437866685342
diag_validation_only:plateau,4712,3,0.06448450059620303,0.07417140928179226,0.05078566537882003,0.057910395813236266,0.0456507775,0.052502424186474876,-0.0027473784999999997,-0.0028233889899636952,0.0741079300250541,0.0034780351472198136,-15.02207289507894
diag_validation_only:exit,3181,3,0.08665455675983383,0.10387554369922304,0.08083872540270355,0.0956847526061121,0.087034652,0.09915819308856941,-0.03620564,-0.039939181621771326,0.10295010276466378,0.011558892443734677,-19.87314641412083
aux_downweighted_validation:entry,2710,13,0.07408321980038726,0.07989155912930972,0.05146439698413284,0.055553360684241784,0.027799833,0.029884292626776998,-0.0034258485,-0.0037386442874134717,0.08278400641348348,0.00043411136538293657,-7.8402900745576005
aux_downweighted_validation:plateau,8708,13,0.03722139915039368,0.040637633424323936,0.02327004260450161,0.025438973295909224,0.011437506,0.011800216245830981,-0.000406586,-0.000548122658096863,0.050025217913718854,0.0003462472707398232,-9.178145776108272
aux_downweighted_validation:exit,3030,13,0.06034861345329037,0.06656727616966555,0.044717655678217824,0.049672195517205815,0.030535899,0.035193972970763515,-0.0065930465,-0.007275024743407705,0.07119337397368615,0.0019529387967607812,-10.30456602153487
