group,baseline_rmse_nm,unshifted_refined_rmse_nm,force_domain_stribeck_rmse_nm,rational_residual_reference_rmse_nm,true_traction_testbed_rmse_nm,cubic_force_only_partition_rmse_nm,standalone_contact_traction_rmse_nm
primary_open_floor_fit_authoritative,0.0368661768950097,0.0365555998751373,0.0279078211804213,0.0210830183846211,0.0195081215101294,0.0183409621459586,0.0166880236570748
open_floor_fit_downweighted,0.0431940731198079,0.0438548416471492,0.0415071868574035,0.0328231656134756,0.0352673146970392,0.0330925257736189,0.0279518364973881
open_floor_validation_only,0.0169307091000694,0.0192133299035741,0.0113937678145051,0.0112068606841968,0.0092937724890793,0.0104913925885537,0.0076653109963557
diag_validation_only,0.0846209251204878,0.094908675907192,0.084410178367099,0.0384891276938337,0.0256854191103741,0.0294301038673432,0.0200297483797947
aux_downweighted_validation,0.0512663739230813,0.0546146257601438,0.0488197069583145,0.0274902426777109,0.0274462474858248,0.0293971204905994,0.0191976772036043
validation_non_authoritative,0.0502338320482201,0.0540850672364049,,0.0296801536036113,0.0285853530448344,0.0284885091931641,0.0221569163942992
