variant,stage,interpretation,k1,k2,delta_k,k3_radps,stribeck_speed_mps,speed_fade_mps,rel_weight,load_exponent,sliding_nm,static_extra_nm,peak_nm,coarse_train_rmse_nm,train_weighted_rmse_nm,primary_rmse_nm,validation_rmse_nm,selected_log_rmse_nm,latest_rmse_nm,launch_extra_nm,launch_left_command,launch_right_command,launch_max_abs_command,launch_target_abs_error,gate_pass,gate_reason,objective,round_index
standard,local_refine_1,reach_x2,0.036373659653569874,1.2521817985525172,1.2158081388989472,1.176190200278695,0.005205010831897792,0.8453528681116539,0.1832154107120683,1.3012714327603032,0.0014142749936174313,0.08418474520995187,0.0855990202035693,0.03703092975012318,0.03767350891834894,0.03655559987513735,0.05408506723640499,0.05457636352882371,0.032117989160032986,0.06556799420449655,0.6459999999999998,-0.6459999999999998,0.6459999999999998,2.220446049250313e-16,True,pass,0.038443722365629936,1
standard,local_refine_2,reach_x2,0.030674322682595567,0.9094322517105133,0.8787579290279178,1.3196004502151957,0.006816140709707722,0.8685898893849537,0.22671344564563825,1.4641574116814953,0.0005022189373065727,0.08795341383132584,0.08845563276863241,0.03701182160580248,0.037652045025452316,0.03652291858398321,0.0545146670031569,0.05491606161395245,0.03201595555648502,0.06556799420449654,0.6459999999999998,-0.6459999999999998,0.6459999999999998,2.220446049250313e-16,True,pass,0.03850817842608369,1
standard,local_refine_2,reach_x2,0.7614562220141547,0.8107757887370678,0.04931956672291301,1.1406246610986923,0.004,0.12505536874286963,0.15954310334440203,0.7205608423149648,0.006836171405613793,0.0810941806645967,0.0879303520702105,0.03700989845971304,0.03764852097104156,0.0364340468956403,0.05454553570571277,0.0549103035673468,0.0319069871874291,0.06556799420449656,0.646,-0.646,0.646,0.0,True,pass,0.03851082811218411,1
standard,local_refine_2,reach_x2,0.6900946448761224,0.7371297903012847,0.047035145425162274,1.2517381741092144,0.004,0.1190154831532661,0.14033964174451022,0.7634970698074918,0.0069742869695254,0.07923670073009163,0.08621098769961703,0.037013219628944306,0.03765305089284508,0.03644215069612007,0.054550585441420114,0.05492705375904383,0.03170101521335642,0.06556799420449656,0.646,-0.646,0.646,0.0,True,pass,0.038516367981129104,1
standard,local_refine_2,reach_x2,0.6832855571019325,0.7312353139422363,0.047949756840303774,1.0448652019066587,0.004,0.1406051399328698,0.1564233617050469,0.7872158217841342,0.0065714979875393055,0.0788830732434056,0.08545457123094491,0.03701229610065318,0.03765016640794639,0.03643557749794141,0.054609180478300066,0.05494891770612468,0.03208093394628633,0.06556799420449655,0.6459999999999998,-0.6459999999999998,0.6459999999999998,2.220446049250313e-16,True,pass,0.0385252025036064,1
standard,local_refine_2,reach_x2,1.078232687488959,1.1248331511063379,0.0466004636173788,1.1802139263605964,0.004,0.09230062004165376,0.16001586795039646,0.7647763919163941,0.008296945848429167,0.08036406315261607,0.08866100900104523,0.03699951534945138,0.03763645503107421,0.036416496399868645,0.054693382263151465,0.055019377727798024,0.03181230645688275,0.06556799420449654,0.6459999999999998,-0.6459999999999998,0.6459999999999998,2.220446049250313e-16,True,pass,0.038528331483704506,1
standard,local_refine_2,reach_x2,1.1160774686866715,1.1533053748926498,0.037227906205978455,1.1161265871109156,0.004017317195282936,0.1087057294156349,0.14565172000449667,0.8230380927015158,0.007608762119606623,0.07586194106111663,0.08347070318072325,0.0370053688800841,0.03764296073930701,0.036427440110151504,0.05467394583841431,0.055003223419134904,0.03186583559277953,0.06556799420449655,0.6459999999999998,-0.6459999999999998,0.6459999999999998,2.220446049250313e-16,True,pass,0.03853094990698987,1
standard,local_refine_2,reach_x2,0.03031460423893003,2.299499697760034,2.269185093521104,1.165453121271443,0.007786846739443043,0.8535110088934779,0.2968441348829984,1.4927762871823393,0.0002360528995744189,0.08863846582921452,0.08887451872878893,0.0369917459180715,0.037626735760718545,0.03648878781164893,0.05465695328255306,0.054990937876921726,0.03237921572972738,0.06556799420449655,0.6459999999999998,-0.6459999999999998,0.6459999999999998,2.220446049250313e-16,True,pass,0.0385334479902019,1
standard,local_refine_2,reach_x2,0.036818136474035555,0.9591097340294797,0.9222915975554442,1.10798505209246,0.006906931200366066,0.9184566608719827,0.26947113924463867,1.467493060002227,0.0008013919780307381,0.08746972375199272,0.08827111573002346,0.03700325146983941,0.037639385612642955,0.03650371293015803,0.054558964197896215,0.05491028577492865,0.032472656116850365,0.06556799420449655,0.6459999999999998,-0.6459999999999998,0.6459999999999998,2.220446049250313e-16,True,pass,0.03853584406390723,1
standard,local_refine_2,reach_x2,0.026167289783054024,0.906969799388278,0.880802509605224,1.1330787274554825,0.007354911912056866,0.9992853003338368,0.28902908812101186,1.4540378285846631,0.0004741978469358979,0.08881283178859906,0.08928702963553495,0.03699692792089592,0.03763206209528291,0.03649477456376808,0.05460483679182181,0.05494619783619359,0.03245954861150555,0.06556799420449656,0.646,-0.646,0.646,0.0,True,pass,0.03853638431479783,1
standard,local_refine_2,reach_x2,0.03868352402279181,1.1592181531244978,1.120534629101706,1.1843192846922568,0.006120052659129983,0.7916287859323476,0.24085143353551802,1.2839203905278485,0.0009546700640650154,0.08967559912196389,0.09063026918602891,0.03701490586032293,0.037654433855699776,0.03652673719380164,0.0542864094269375,0.05472097136506093,0.03226277671112477,0.06556799420449655,0.6459999999999998,-0.6459999999999998,0.6459999999999998,2.220446049250313e-16,True,pass,0.038538420330802646,1
standard,local_refine_2,reach_x2,0.6210823077161948,0.6709586205204259,0.04987631280423106,1.07627269870172,0.004,0.12389536814461755,0.13426654360902682,0.738581060844195,0.007033399657961365,0.07346354082695679,0.08049694048491815,0.03701387699288223,0.03765170219145533,0.03643173147228241,0.054671234113970964,0.055007839490823614,0.0318993304111439,0.06556799420449655,0.6459999999999998,-0.6459999999999998,0.6459999999999998,2.220446049250313e-16,True,pass,0.03853914901424953,1
standard,local_refine_2,reach_x2,0.5649563855408133,0.6189676746913444,0.054011289150531154,1.1460675130688218,0.004,0.1095189402746524,0.12818084134656677,0.7048950908513402,0.0074653989053866795,0.07287926537164478,0.08034466427703146,0.037013454954899626,0.037651330018152775,0.036429070427850506,0.05469241761406525,0.05503251547406375,0.031758929583695035,0.06556799420449656,0.646,-0.646,0.646,0.0,True,pass,0.03854301354096582,1
standard,local_refine_2,reach_x2,0.8321614640745087,0.8762638974929947,0.044102433418485944,1.2774415969474444,0.004,0.08509928325782609,0.13858592761978855,0.7590974854641808,0.008530423976060249,0.07768606212178956,0.08621648609784982,0.03700647970718954,0.03764405806192881,0.036425235435110156,0.054731950525703336,0.055064575525576,0.03163290407471908,0.06556799420449656,0.646,-0.646,0.646,0.0,True,pass,0.038543648167069476,1
standard,local_refine_2,reach_x2,0.7846796825851481,0.8383504283343779,0.05367074574922984,1.1878565509730499,0.0040472799046782975,0.08900891349503222,0.14209607005371938,0.7403158539518184,0.008425614526210696,0.07547357584067275,0.08389919036688345,0.03700383348599135,0.037640499037849835,0.03641696432308958,0.05476274860581005,0.05508024758553901,0.03173079081169255,0.06556799420449655,0.6459999999999998,-0.6459999999999998,0.6459999999999998,2.220446049250313e-16,True,pass,0.038546248759011845,1
standard,local_refine_2,reach_x2,0.6913195808710542,0.7347567970600837,0.04343721618902947,1.1959777965044573,0.004099697603658133,0.10971020472914733,0.1276718890871906,0.7587026027829653,0.00735109467783132,0.07343787043719475,0.08078896511502608,0.03701523213800421,0.037653645981566085,0.03643581499737841,0.05470097822660301,0.055043754361044805,0.03170920111072687,0.06556799420449654,0.6459999999999998,-0.6459999999999998,0.6459999999999998,2.220446049250313e-16,True,pass,0.038547041626886686,1
standard,local_refine_2,reach_x2,0.6781039004418752,0.7294913760442493,0.05138747560237411,1.0367287161003773,0.004135031710934989,0.12281621908450156,0.1581654350094516,0.7429191013230283,0.007037236299097876,0.07734853778508047,0.08438577408417834,0.037010277793864885,0.037646707813020444,0.03642284647949248,0.05474401553470098,0.05505255396328528,0.03208948757225618,0.06556799420449656,0.646,-0.646,0.646,0.0,True,pass,0.03854871091996064,1
