stage,iteration,best_score,population_median_score,speed_gate_v0_mps,yaw_activation_mps,stribeck_speed_mps,sliding_ratio,beta_floor_mps,beta_abs_denominator,beta_quad_denominator,static_peak_nm,high_front_mu_per_beta,high_rear_mu_per_beta,simplex_score_span
differential_evolution,0,0.02930809289144912,0.0357904658090331,0.02,0.008186797634648793,0.16215665051212544,0.37390163549886807,0.02558642406165496,4.193222488318452,0.0,0.07090631444583866,0.0,0.0,
differential_evolution,1,0.02902739803497443,0.03286929135491559,0.02,0.026195450351159315,0.054670608542050275,0.0,0.14219898767875921,0.0,1.4616462372757129,0.1470820247802457,0.0,0.0,
differential_evolution,2,0.02902739803497443,0.030393984587478346,0.02,0.026195450351159315,0.054670608542050275,0.0,0.14219898767875921,0.0,1.4616462372757129,0.1470820247802457,0.0,0.0,
differential_evolution,3,0.02902739803497443,0.029559735710833777,0.02,0.026195450351159315,0.054670608542050275,0.0,0.14219898767875921,0.0,1.4616462372757129,0.1470820247802457,0.0,0.0,
differential_evolution,4,0.02902739803497443,0.02939076731244173,0.02,0.026195450351159315,0.054670608542050275,0.0,0.14219898767875921,0.0,1.4616462372757129,0.1470820247802457,0.0,0.0,
differential_evolution,5,0.02902739803497443,0.02934446428384457,0.02,0.026195450351159315,0.054670608542050275,0.0,0.14219898767875921,0.0,1.4616462372757129,0.1470820247802457,0.0,0.0,
differential_evolution,6,0.02902739803497443,0.02920709750767497,0.02,0.026195450351159315,0.054670608542050275,0.0,0.14219898767875921,0.0,1.4616462372757129,0.1470820247802457,0.0,0.0,
differential_evolution,7,0.02902739803497443,0.02919633592590265,0.02,0.026195450351159315,0.054670608542050275,0.0,0.14219898767875921,0.0,1.4616462372757129,0.1470820247802457,0.0,0.0,
differential_evolution,8,0.02902396267617924,0.02915578454835755,0.02,0.02486323945937417,0.06508955624590118,0.0,0.3001276579441927,0.20379316361001343,5.0,0.12639925328326435,0.0,0.0,
differential_evolution,9,0.02902396267617924,0.02913788899130378,0.02,0.02486323945937417,0.06508955624590118,0.0,0.3001276579441927,0.20379316361001343,5.0,0.12639925328326435,0.0,0.0,
differential_evolution,10,0.02900698529169091,0.029088544268959973,0.02,0.034417063069332725,0.046078751856036056,0.0,0.014999999999999998,4.675380636701019,4.695826770756801,0.20283937029109828,0.0,0.0,
differential_evolution,11,0.029006355088604968,0.029057704363233572,0.02,0.03230342887019939,0.056717680061808974,0.0,0.04140026738020765,4.8487203381157356,5.0,0.16184039439473522,0.0,0.0,
differential_evolution,12,0.029002068846731673,0.029051565793418676,0.02,0.04047343586490717,0.049274440329426974,0.0,0.020729338792936203,1.7322077607460153,5.0,0.2175214757468057,0.0,0.0,
differential_evolution,13,0.029002068846731673,0.029042601088445592,0.02,0.04047343586490717,0.049274440329426974,0.0,0.020729338792936203,1.7322077607460153,5.0,0.2175214757468057,0.0,0.0,
differential_evolution,14,0.029000383044553022,0.029038205211413322,0.02,0.042457347235526945,0.045520109631882695,0.0,0.02257912269965903,1.7322077607460153,0.0,0.24501239416467335,0.0,0.0,
differential_evolution,15,0.029000383044553022,0.02903300864466389,0.02,0.042457347235526945,0.045520109631882695,0.0,0.02257912269965903,1.7322077607460153,0.0,0.24501239416467335,0.0,0.0,
differential_evolution,16,0.029000383044553022,0.029029240969018516,0.02,0.042457347235526945,0.045520109631882695,0.0,0.02257912269965903,1.7322077607460153,0.0,0.24501239416467335,0.0,0.0,
differential_evolution,17,0.029000383044553022,0.029026031822841556,0.02,0.042457347235526945,0.045520109631882695,0.0,0.02257912269965903,1.7322077607460153,0.0,0.24501239416467335,0.0,0.0,
differential_evolution,18,0.029000383044553022,0.02901568909673842,0.02,0.042457347235526945,0.045520109631882695,0.0,0.02257912269965903,1.7322077607460153,0.0,0.24501239416467335,0.0,0.0,
differential_evolution,19,0.029000383044553022,0.02901150219325311,0.02,0.042457347235526945,0.045520109631882695,0.0,0.02257912269965903,1.7322077607460153,0.0,0.24501239416467335,0.0,0.0,
differential_evolution,20,0.029000383044553022,0.029009909178613142,0.02,0.042457347235526945,0.045520109631882695,0.0,0.02257912269965903,1.7322077607460153,0.0,0.24501239416467335,0.0,0.0,
differential_evolution,21,0.029000383044553022,0.029007274361915213,0.02,0.042457347235526945,0.045520109631882695,0.0,0.014999999999999998,0.0,0.42436463997097107,0.24501239416467335,0.0,0.0,
differential_evolution,22,0.028999745834064807,0.02900538585497478,0.02,0.041534026937960516,0.04439219551953494,0.0,0.014999999999999998,3.6961128534941956,1.5466755623417998,0.24610609458009428,0.0,0.0,
differential_evolution,23,0.028999745834064807,0.029003610357511766,0.02,0.041534026937960516,0.04439219551953494,0.0,0.014999999999999998,3.6961128534941956,1.5466755623417998,0.24610609458009428,0.0,0.0,
differential_evolution,24,0.028999745834064807,0.029002678051472726,0.02,0.041534026937960516,0.04439219551953494,0.0,0.014999999999999998,3.6961128534941956,1.5466755623417998,0.24610609458009428,0.0,0.0,
differential_evolution,25,0.028999745834064807,0.029002135813006265,0.02,0.041534026937960516,0.04439219551953494,0.0,0.014999999999999998,3.6961128534941956,1.5466755623417998,0.24610609458009428,0.0,0.0,
differential_evolution,26,0.028999745834064807,0.029001475307080304,0.02,0.041534026937960516,0.04439219551953494,0.0,0.014999999999999998,3.6961128534941956,1.5466755623417998,0.24610609458009428,0.0,0.0,
differential_evolution,27,0.028999745834064807,0.029000991456587303,0.02,0.041534026937960516,0.04439219551953494,0.0,0.014999999999999998,3.6961128534941956,1.5466755623417998,0.24610609458009428,0.0,0.0,
differential_evolution,28,0.028999745834064807,0.029000609313474306,0.02,0.041534026937960516,0.04439219551953494,0.0,0.014999999999999998,3.6961128534941956,1.5466755623417998,0.24610609458009428,0.0,0.0,
differential_evolution,29,0.028999745834064807,0.0290005252822126,0.02,0.041534026937960516,0.04439219551953494,0.0,0.014999999999999998,3.6961128534941956,1.5466755623417998,0.24610609458009428,0.0,0.0,
differential_evolution,30,0.028999745834064807,0.029000339650492958,0.02,0.041534026937960516,0.04439219551953494,0.0,0.014999999999999998,3.6961128534941956,1.5466755623417998,0.24610609458009428,0.0,0.0,
differential_evolution,31,0.028999741493666343,0.029000179158551048,0.02,0.04145141366497065,0.04383765610945732,0.0,0.014999999999999998,3.513597609218447,5.0,0.2488109105783052,0.0,0.0,
differential_evolution,32,0.028999741493666343,0.02900005066567017,0.02,0.04145141366497065,0.04383765610945732,0.0,0.014999999999999998,3.513597609218447,5.0,0.2488109105783052,0.0,0.0,
differential_evolution,33,0.028999736782511096,0.028999988218685366,0.02,0.04185618362577754,0.04428058324472479,0.0,0.5384180864950239,3.4477436408950375,3.0392812561108973,0.24850851552176514,0.0,0.0,
differential_evolution,34,0.028999736782511096,0.02899996569882135,0.02,0.04185618362577754,0.04428058324472479,0.0,0.5384180864950239,3.4477436408950375,3.0392812561108973,0.24850851552176514,0.0,0.0,
differential_evolution,35,0.02899971898793267,0.02899991475974591,0.02,0.041825738352151955,0.044157000404321384,0.0,0.13880807430279093,2.1698202467560463,0.0,0.24904448843374632,0.0,0.0,
differential_evolution,36,0.02899971898793267,0.028999846928628416,0.02,0.041825738352151955,0.044157000404321384,0.0,0.13880807430279093,2.1698202467560463,0.0,0.24904448843374632,0.0,0.0,
differential_evolution,37,0.02899971898793267,0.028999819306631827,0.02,0.041825738352151955,0.044157000404321384,0.0,0.13880807430279093,2.1698202467560463,0.0,0.24904448843374632,0.0,0.0,
differential_evolution,38,0.0289997087538818,0.02899978739232755,0.02,0.041719364907020474,0.044006177002398464,0.0,0.015653583113807098,4.522626683086302,1.0868679980047928,0.2493211028417332,0.0,0.0,
differential_evolution,39,0.0289997087538818,0.028999772478865704,0.02,0.041719364907020474,0.044006177002398464,0.0,0.015653583113807098,4.522626683086302,1.0868679980047928,0.2493211028417332,0.0,0.0,
differential_evolution,40,0.0289997087538818,0.028999756742723183,0.02,0.041719364907020474,0.044006177002398464,0.0,0.015653583113807098,4.522626683086302,1.0868679980047928,0.2493211028417332,0.0,0.0,
differential_evolution,41,0.0289997087538818,0.02899974464810401,0.02,0.041719364907020474,0.044006177002398464,0.0,0.015653583113807098,4.522626683086302,1.0868679980047928,0.2493211028417332,0.0,0.0,
differential_evolution,42,0.028999704244217352,0.028999737840526032,0.02,0.04180739721375066,0.043993799666956,0.0,0.014999999999999998,0.8270076206161452,1.5466755623417998,0.2498816979984459,0.0,0.0,
differential_evolution,43,0.028999704244217352,0.02899973413645289,0.02,0.04180739721375066,0.043993799666956,0.0,0.014999999999999998,0.8270076206161452,1.5466755623417998,0.2498816979984459,0.0,0.0,
differential_evolution,44,0.028999704244217352,0.02899972589793786,0.02,0.04180739721375066,0.043993799666956,0.0,0.014999999999999998,0.8270076206161452,1.5466755623417998,0.2498816979984459,0.0,0.0,
differential_evolution,45,0.028999704244217352,0.028999722102495438,0.02,0.04180739721375066,0.043993799666956,0.0,0.014999999999999998,0.8270076206161452,1.5466755623417998,0.2498816979984459,0.0,0.0,
differential_evolution,46,0.028999704244217352,0.028999718098677477,0.02,0.04180739721375066,0.043993799666956,0.0,0.014999999999999998,0.8270076206161452,1.5466755623417998,0.2498816979984459,0.0,0.0,
differential_evolution,47,0.028999704244217352,0.028999714998239022,0.02,0.04180739721375066,0.043993799666956,0.0,0.014999999999999998,0.8270076206161452,1.5466755623417998,0.2498816979984459,0.0,0.0,
differential_evolution,48,0.028999704244217352,0.02899971358908568,0.02,0.04180739721375066,0.043993799666956,0.0,0.014999999999999998,0.8270076206161452,1.5466755623417998,0.2498816979984459,0.0,0.0,
differential_evolution,49,0.028999704244217352,0.02899971215579986,0.02,0.04180739721375066,0.043993799666956,0.0,0.014999999999999998,0.8270076206161452,1.5466755623417998,0.2498816979984459,0.0,0.0,
differential_evolution,50,0.028999702749710664,0.02899971123520894,0.02,0.04177370380081757,0.043941059362599046,0.0,0.12641954152402962,4.304065659351231,0.0,0.24999977130534087,0.0,0.0,
differential_evolution,51,0.028999702749710664,0.028999708561683366,0.02,0.04177370380081757,0.043941059362599046,0.0,0.12641954152402962,4.304065659351231,0.0,0.24999977130534087,0.0,0.0,
