parameter,value
speed_gate_v0_mps,0.020040969730668073
yaw_activation_mps,0.040608004793836985
stribeck_speed_mps,0.0428195133581532
sliding_ratio,0.0007371428667241401
beta_floor_mps,0.04549901023422351
beta_abs_denominator,2.671881459350971
beta_quad_denominator,2.08459772613138
high_front_mu_per_beta,0.0
high_rear_mu_per_beta,0.0
launch_extra_opposing_nm,0.06556799420449659
static_peak_nm,0.24999285556885198
train_weighted_rmse_nm,0.0316293451352689
objective_score,0.0316293451352689
nominal_total_load_n,1.932931008
rows,118580
runs,49
launch_extra_target_nm,0.06556799420449659
launch_command_target,0.646
