group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,rmse_delta_vs_baseline_pct,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_corrected_rmse_nm,median_pred_opposes_nm,run_id,dataset_split
2026-05-04_20-35-47,3456,1,0.035845955637305665,0.03615991704131503,0.8758628370409959,0.028876796463541667,0.027861805288646038,0.025485003,0.022787949909733547,0.0093600005,0.008268232569051723,0.03615991704131503,0.004551497220191736,2026-05-04_20-35-47,open_floor_fit_downweighted
2026-05-04_16-57-53,1761,1,0.023277853453219116,0.022864354303753522,-1.7763628862798373,0.017940518580919933,0.017201641115487137,0.013238941,0.011828321286658183,-0.000686103,0.00010345134632141139,0.02286435430375352,0.0005549759999369384,2026-05-04_16-57-53,open_floor_validation_only
2026-04-22_12-10-34,2187,1,0.016217132966177106,0.0160350296064984,-1.1229072368001551,0.013081637973022406,0.012948880997151083,0.011327229,0.011344022755306741,-0.003115615,-0.0028748480766933775,0.016035029606498403,0.00012556619765148133,2026-04-22_12-10-34,open_floor_fit_downweighted
2026-04-22_01-06-32,1031,1,0.04497527944035794,0.044905655193326496,-0.15480559075518466,0.033356145290009694,0.03316044065169707,0.026813516,0.026648225809485986,0.009991152,0.009349678727407442,0.04490565519332648,0.00013684439233836273,2026-04-22_01-06-32,primary_open_floor_fit_authoritative
2026-04-21_05-32-06,8880,1,0.04258417382836224,0.042077602784779906,-1.1895758401327632,0.0365598928268018,0.03607391671282727,0.034704941,0.03480647536978047,0.0121550075,0.011845326502589782,0.042077602784779906,0.0075532484006927605,2026-04-21_05-32-06,primary_open_floor_fit_authoritative
2026-04-21_00-16-10,3757,1,0.039823975586254654,0.04036668436451919,1.3627689608464313,0.02832533189938781,0.02862328223298594,0.019252263,0.019312962172126354,0.008941154,0.00896579237083773,0.04036668436451919,6.640683262171263e-05,2026-04-21_00-16-10,primary_open_floor_fit_authoritative
2026-04-20_12-10-58,2925,1,0.04035482301988178,0.041047518514725254,1.7165122852904067,0.027066004325470086,0.027500318578233044,0.015359407,0.015422856915954115,0.003674954,0.0035580401318970963,0.04104751851472526,7.333581429112653e-05,2026-04-20_12-10-58,primary_open_floor_fit_authoritative
2026-04-20_08-38-39,7284,1,0.05622535775152191,0.06009105395657462,6.875360797411855,0.04229161872130697,0.044558004878528255,0.036814327499999994,0.037302691551688694,0.0001673695,0.00013020251652548945,0.06009105395657461,0.0003237483516435511,2026-04-20_08-38-39,open_floor_fit_downweighted
diag003,5580,1,0.08523812922205401,0.09724073142208875,14.081259536758179,0.07495094215232975,0.08558890254327868,0.085086003,0.09817744245139175,-0.0124400895,-0.014599163434029751,0.09724073142208875,0.002972299896810359,diag003,diag_validation_only
