candidate_id,trial_id,is_nominal,parameter_json
candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_014,false,"{""combined_slip_envelope_exponent"": 2.782608695652174, ""lateral_slip_gain_n_per_mps"": 17.77753284737682, ""longitudinal_slip_gain_n_per_mps"": 16.294160878942343, ""low_speed_blend_mps"": 0.12173913043478261, ""peak_friction_coefficient_at_80pct_fan"": 1.8782608695652172}"
candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_015,false,"{""combined_slip_envelope_exponent"": 2.9043478260869566, ""lateral_slip_gain_n_per_mps"": 19.93898944568462, ""longitudinal_slip_gain_n_per_mps"": 18.15318876668733, ""low_speed_blend_mps"": 0.12956521739130436, ""peak_friction_coefficient_at_80pct_fan"": 1.9304347826086956}"
candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_016,false,"{""combined_slip_envelope_exponent"": 3.026086956521739, ""lateral_slip_gain_n_per_mps"": 22.36324373737751, ""longitudinal_slip_gain_n_per_mps"": 20.224316234956262, ""low_speed_blend_mps"": 0.1373913043478261, ""peak_friction_coefficient_at_80pct_fan"": 1.982608695652174}"
candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_017,false,"{""combined_slip_envelope_exponent"": 3.1478260869565213, ""lateral_slip_gain_n_per_mps"": 25.082247614389182, ""longitudinal_slip_gain_n_per_mps"": 22.531742077298727, ""low_speed_blend_mps"": 0.14521739130434783, ""peak_friction_coefficient_at_80pct_fan"": 2.034782608695652}"
candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_018,false,"{""combined_slip_envelope_exponent"": 3.269565217391304, ""lateral_slip_gain_n_per_mps"": 28.131837794981138, ""longitudinal_slip_gain_n_per_mps"": 25.10242596782713, ""low_speed_blend_mps"": 0.15304347826086956, ""peak_friction_coefficient_at_80pct_fan"": 2.0869565217391304}"
candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_019,false,"{""combined_slip_envelope_exponent"": 3.391304347826087, ""lateral_slip_gain_n_per_mps"": 31.552208154946975, ""longitudinal_slip_gain_n_per_mps"": 27.96640345466741, ""low_speed_blend_mps"": 0.16086956521739132, ""peak_friction_coefficient_at_80pct_fan"": 2.139130434782609}"
candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_020,false,"{""combined_slip_envelope_exponent"": 3.5130434782608697, ""lateral_slip_gain_n_per_mps"": 35.388439486549004, ""longitudinal_slip_gain_n_per_mps"": 31.15713689153579, ""low_speed_blend_mps"": 0.16869565217391305, ""peak_friction_coefficient_at_80pct_fan"": 2.1913043478260867}"
candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_021,false,"{""combined_slip_envelope_exponent"": 3.6347826086956516, ""lateral_slip_gain_n_per_mps"": 39.69109366745823, ""longitudinal_slip_gain_n_per_mps"": 34.711906407682406, ""low_speed_blend_mps"": 0.17652173913043478, ""peak_friction_coefficient_at_80pct_fan"": 2.243478260869565}"
candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_022,false,"{""combined_slip_envelope_exponent"": 3.7565217391304344, ""lateral_slip_gain_n_per_mps"": 44.51688007089832, ""longitudinal_slip_gain_n_per_mps"": 38.672245484245124, ""low_speed_blend_mps"": 0.18434782608695652, ""peak_friction_coefficient_at_80pct_fan"": 2.2956521739130435}"
candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_023,false,"{""combined_slip_envelope_exponent"": 3.878260869565217, ""lateral_slip_gain_n_per_mps"": 49.929403000339455, ""longitudinal_slip_gain_n_per_mps"": 43.08442622623362, ""low_speed_blend_mps"": 0.19217391304347828, ""peak_friction_coefficient_at_80pct_fan"": 2.3478260869565215}"
candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_024,false,"{""combined_slip_envelope_exponent"": 4.0, ""lateral_slip_gain_n_per_mps"": 56.00000000000002, ""longitudinal_slip_gain_n_per_mps"": 48.00000000000003, ""low_speed_blend_mps"": 0.2, ""peak_friction_coefficient_at_80pct_fan"": 2.4}"
