step_id,amplitude,direction,quality,raw_initial_slope_radps2,filtered_initial_slope_radps2,raw_motion_threshold_radps,filtered_motion_threshold_radps,raw_onset_samples,filtered_onset_samples
48,0.600,CCW,sustained_launch,186.793867,187.732440,0.081510192,0.055691135,5,4
49,0.600,CW,sustained_launch,160.919352,161.479186,0.074717680,0.081607966,5,5
50,0.600,CCW,sustained_launch,164.497281,161.219210,0.099623570,0.075252973,5,5
51,0.600,CW,sustained_launch,189.150062,188.428421,0.092831053,0.095345790,6,6
52,0.600,CCW,sustained_launch,157.690501,162.960621,0.115472771,0.064282407,5,5
53,0.600,CW,sustained_launch,195.258714,196.411146,0.097359397,0.106659315,6,6
54,0.600,CCW,sustained_launch,195.913207,188.020368,0.081510195,0.030000000,5,5
55,0.600,CW,sustained_launch,171.216797,166.258791,0.108680256,0.086670242,5,5
56,0.600,CCW,sustained_launch,173.354823,182.008345,0.097359397,0.031465164,5,4
57,0.600,CW,sustained_launch,193.557011,198.043063,0.090566881,0.078239778,6,6
58,0.600,CCW,sustained_launch,194.735111,203.115021,0.090566883,0.031063426,5,4
59,0.600,CW,sustained_launch,183.608640,181.798802,0.106416084,0.084692202,5,5
60,0.600,CCW,sustained_launch,183.390478,189.707614,0.072453502,0.030000000,5,4
61,0.650,CW,sustained_launch,208.741373,210.443436,0.086038538,0.087979476,5,5
62,0.650,CCW,sustained_launch,219.824217,229.545697,0.095095227,0.030000000,5,5
63,0.650,CW,sustained_launch,231.954254,233.924547,0.079246022,0.076259192,5,5
64,0.650,CCW,sustained_launch,215.330002,207.976416,0.079246024,0.033704230,5,4
65,0.650,CW,sustained_launch,222.093142,225.073921,0.086038535,0.075389058,5,5
66,0.650,CCW,sustained_launch,182.561434,184.616297,0.097359397,0.032504683,5,4
67,0.650,CW,sustained_launch,242.208056,244.418354,0.083774366,0.077561517,6,6
68,0.650,CCW,sustained_launch,174.620184,174.938951,0.108680257,0.089938151,5,5
69,0.650,CW,sustained_launch,209.134075,206.534458,0.104151912,0.091203521,5,5
70,0.650,CCW,sustained_launch,208.741385,216.146374,0.079246020,0.030000000,4,4
71,0.650,CW,sustained_launch,216.639007,218.025632,0.090566880,0.085155579,5,5
72,0.650,CCW,sustained_launch,185.659394,183.480455,0.113208600,0.056253190,5,4
73,0.650,CW,sustained_launch,218.515222,218.463844,0.101887740,0.100370480,5,5
74,0.650,CCW,sustained_launch,203.592651,196.485256,0.097359397,0.030000000,4,4
75,0.650,CW,sustained_launch,217.947997,216.759408,0.088302712,0.090520102,4,4
76,0.650,CCW,sustained_launch,202.283651,196.538023,0.101887739,0.058678056,4,4
77,0.650,CW,sustained_launch,226.020125,224.487683,0.099623570,0.099699365,5,5
78,0.650,CCW,sustained_launch,195.345975,191.254495,0.072453505,0.030000000,4,4
79,0.650,CW,sustained_launch,175.318328,175.405886,0.092831054,0.086377133,4,4
80,0.650,CCW,sustained_launch,162.010192,166.435745,0.092831055,0.068385275,4,4
81,0.700,CW,sustained_launch,238.411965,236.485358,0.106416082,0.101022855,5,5
82,0.700,CCW,sustained_launch,295.964215,294.557886,0.072453505,0.074685767,6,6
83,0.700,CW,sustained_launch,256.345228,256.883603,0.058868471,0.059870056,5,5
84,0.700,CCW,sustained_launch,268.213474,273.064716,0.083774368,0.030000000,5,4
85,0.700,CW,sustained_launch,265.202780,259.053860,0.076981849,0.030000000,5,4
86,0.700,CCW,sustained_launch,239.677338,241.104874,0.090566880,0.085420018,5,5
87,0.700,CW,sustained_launch,262.104810,268.952867,0.067925164,0.030000000,4,4
88,0.700,CCW,sustained_launch,289.768289,291.050867,0.097359397,0.092148252,6,6
89,0.700,CW,sustained_launch,258.701430,257.894872,0.061132643,0.066367229,5,5
90,0.700,CCW,sustained_launch,255.428925,252.336137,0.095095227,0.083198982,5,4
91,0.700,CW,sustained_launch,235.095850,234.655219,0.083774363,0.081468185,4,4
92,0.700,CCW,sustained_launch,265.115513,264.745539,0.061132643,0.059183166,4,4
93,0.700,CW,sustained_launch,264.199216,264.751812,0.081510191,0.078861515,6,6
94,0.700,CCW,sustained_launch,253.989047,249.417108,0.081510196,0.043492006,5,4
95,0.700,CW,sustained_launch,235.139492,242.884341,0.110944428,0.054062416,5,4
96,0.700,CCW,sustained_launch,250.716547,252.086753,0.092831053,0.088522416,5,5
97,0.700,CW,sustained_launch,259.050499,258.610652,0.070189330,0.030000000,5,4
98,0.700,CCW,sustained_launch,180.597933,177.024591,0.092831053,0.072531618,4,4
99,0.700,CW,sustained_launch,246.920452,244.549020,0.065660989,0.032386965,5,4
100,0.700,CCW,sustained_launch,249.712984,244.659168,0.095095226,0.050714566,5,4
