step_id,repeat_index,amplitude,direction,start_time_us,command_samples,available_stationary_pre_samples,fan_frequency_gyro_hz,fan_amplitude_gyro_radps,fan_harmonic_amplitude_gyro_radps,fan_frequency_accel_x_hz,fan_amplitude_accel_x_mps2,fan_harmonic_amplitude_accel_x_mps2,fan_frequency_accel_y_hz,fan_amplitude_accel_y_mps2,fan_harmonic_amplitude_accel_y_mps2,pre_raw_mad_sigma_radps,pre_filtered_mad_sigma_radps,pre_raw_p95_abs_radps,pre_filtered_p95_abs_radps,pre_raw_centered_rms_radps,pre_filtered_centered_rms_radps,raw_threshold_radps,filtered_threshold_radps,raw_onset_samples,filtered_onset_samples,raw_y_plus_0_radps,filtered_y_plus_0_radps,raw_y_plus_4_radps,filtered_y_plus_4_radps,raw_y_plus_5_radps,filtered_y_plus_5_radps,raw_initial_slope_plus4_to_plus10_radps2,filtered_initial_slope_plus4_to_plus10_radps2,quality
1,1,0.500,CW,42634349,350,240,149.250,0.005143869,0.000275658,149.250,0.058939451,0.002612624,149.250,0.045798031,0.002404723,0.038038089,0.038774695,0.039062793,0.041660611,0.026327823,0.027066426,0.095095224,0.096936738,6,6,0.032954144,0.028610363,-0.011028154,-0.005855296,0.080601635,0.082738001,109.126711,108.888099,sustained_launch
2,1,0.500,CCW,43402349,350,382,149.250,0.004052619,0.000430938,149.250,0.032116192,0.001754682,149.250,0.037847011,0.004690800,0.038943759,0.039908282,0.040946704,0.041887035,0.027649999,0.027765073,0.097359397,0.099770704,6,6,0.035006651,0.037192820,-0.024858142,-0.028012116,0.058219530,0.054205176,116.718889,117.520193,twitch_or_transition
3,2,0.500,CW,44180349,350,397,149.250,0.003956453,0.000594713,149.250,0.036026674,0.003157958,149.250,0.043642973,0.004996991,0.035321084,0.035897883,0.037311647,0.039038338,0.025127140,0.025178180,0.088302709,0.089744708,5,5,-0.012877039,-0.011681115,0.042100832,0.042589963,0.110517741,0.114181708,108.777644,107.809068,sustained_launch
4,2,0.500,CCW,44951349,350,382,149.250,0.004433860,0.000071464,149.250,0.039145883,0.002853666,149.250,0.047028811,0.002915573,0.035321085,0.035960418,0.039298995,0.041086261,0.025496597,0.025303003,0.088302711,0.089901044,5,5,-0.019751311,-0.022132563,0.048665596,0.052734536,0.099978277,0.103637023,122.129409,121.367969,sustained_launch
5,3,0.500,CW,45724349,350,395,149.250,0.006125978,0.000281463,149.250,0.059046469,0.004962373,149.250,0.067030488,0.002387241,0.035321084,0.034714813,0.036790377,0.037984661,0.024655775,0.024336601,0.088302709,0.086787033,6,6,0.035568645,0.040541572,-0.027961338,-0.033878206,0.049007679,0.045707752,130.768788,131.219377,sustained_launch
6,3,0.500,CCW,46496349,350,382,149.250,0.006420562,0.000397401,149.250,0.059203283,0.002773899,149.250,0.066861935,0.004740410,0.034415415,0.033932179,0.038077267,0.038221664,0.025225866,0.024627186,0.086038536,0.084830449,5,5,-0.011199196,-0.006359353,0.013235413,0.012328958,0.087760972,0.091791218,104.676122,103.209483,sustained_launch
7,4,0.500,CW,47270349,350,387,149.250,0.007308269,0.000336358,149.250,0.067177723,0.001785790,149.250,0.076947178,0.001976713,0.034415415,0.031479312,0.035829283,0.036788442,0.024138994,0.023404816,0.086038536,0.078698281,5,5,0.011818206,0.018682974,0.054578774,0.047806508,0.182860464,0.179773243,125.227374,125.437295,sustained_launch
8,4,0.500,CCW,48041349,350,382,149.250,0.006717612,0.000332293,149.250,0.061908476,0.002081624,149.250,0.069810597,0.004989621,0.035321084,0.033646578,0.037059158,0.040892375,0.025502939,0.024944322,0.088302711,0.084116444,5,5,-0.018733201,-0.012636583,0.081448693,0.078685491,0.196291362,0.199173645,104.981557,103.731185,sustained_launch
9,5,0.500,CW,48811349,350,388,149.250,0.006924676,0.000242175,149.250,0.066389163,0.001764885,149.250,0.077084536,0.000902153,0.035321084,0.031953035,0.035218416,0.037991390,0.024174934,0.023649316,0.088302709,0.079882587,5,5,-0.013650802,-0.019604408,0.051100912,0.057718068,0.126848201,0.130753323,146.258588,145.754217,sustained_launch
10,5,0.500,CCW,49585349,350,384,149.250,0.006340565,0.000474391,149.250,0.059414785,0.002862914,149.250,0.067083563,0.004855353,0.036226753,0.033339507,0.037923328,0.039749105,0.025106723,0.024615088,0.090566881,0.083348767,5,5,-0.010270681,-0.004528552,0.063033145,0.060895645,0.181540992,0.184358188,108.210421,106.968451,sustained_launch
