channel,segment_start_s,segment_end_s,fan_frequency_hz,fan_amplitude,fan_harmonic_amplitude,raw_centered_rms,filtered_centered_rms,rms_reduction_pct
gyro_raw_radps,0.000,2.046,149.000,0.025452293,0.000670323,0.027675548,0.021020889,24.045
gyro_raw_radps,2.047,4.094,149.300,0.037446734,0.001271606,0.027902921,0.008736384,68.690
gyro_raw_radps,4.095,6.142,149.200,0.037573257,0.001467269,0.027869822,0.008360567,70.001
gyro_raw_radps,6.143,8.190,149.275,0.037353948,0.001147742,0.027774209,0.008550961,69.213
gyro_raw_radps,8.191,10.238,149.250,0.037007365,0.001015931,0.027655291,0.008900534,67.816
gyro_raw_radps,10.239,12.286,149.175,0.037098179,0.001146324,0.027564854,0.008425047,69.436
gyro_raw_radps,12.287,14.334,149.300,0.037128380,0.000897452,0.027462116,0.008055024,70.669
accel_body_x_mps2,0.000,2.046,149.000,0.204865987,0.006909747,0.221438442,0.167392121,24.407
accel_body_x_mps2,2.047,4.094,149.300,0.302146806,0.012909454,0.222954179,0.063295585,71.610
accel_body_x_mps2,4.095,6.142,149.200,0.305012823,0.012721100,0.224102328,0.060114022,73.176
accel_body_x_mps2,6.143,8.190,149.275,0.305378261,0.012774681,0.224867825,0.062032142,72.414
accel_body_x_mps2,8.191,10.238,149.250,0.304720296,0.013221226,0.225777225,0.066994305,70.327
accel_body_x_mps2,10.239,12.286,149.175,0.307478874,0.013423657,0.226408252,0.062409446,72.435
accel_body_x_mps2,12.287,14.334,149.300,0.309028351,0.014208228,0.226915149,0.060113082,73.509
accel_body_y_mps2,0.000,2.046,149.000,0.241808998,0.000956865,0.260709247,0.196808455,24.510
accel_body_y_mps2,2.047,4.094,149.300,0.354375103,0.001997168,0.261528517,0.074762122,71.413
accel_body_y_mps2,4.095,6.142,149.200,0.354527118,0.002870162,0.260562117,0.070972982,72.762
accel_body_y_mps2,6.143,8.190,149.275,0.353119191,0.003273116,0.259995113,0.072658222,72.054
accel_body_y_mps2,8.191,10.238,149.250,0.350069108,0.002817674,0.259556949,0.078040279,69.933
accel_body_y_mps2,10.239,12.286,149.175,0.352023923,0.003731985,0.259399772,0.072940481,71.881
accel_body_y_mps2,12.287,14.334,149.300,0.353050922,0.004284237,0.259305686,0.070107221,72.963
