"log_id","launch_segments","stages","sections","command_magnitude_min","command_magnitude_max","distinct_command_magnitudes","distinct_command_pair_modes"
"mmlog_decode_2026-06-09_23-36-21","100","launch:18; mixed_launch:40; yaw_launch:42","SEC_20_LAUNCH:18; SEC_20_MIXED_LAUNCH:40; SEC_20_YAW_LAUNCH:42","0.25","0.8","0.25;0.3;0.35;0.4;0.5;0.55;0.6;0.65;0.7;0.75;0.8","-0.25/-0.25;-0.3/-0.3;-0.3/-0.4;-0.3/-0.5;-0.3/-0.6;-0.35/-0.35;-0.4/-0.3;-0.5/-0.3;-0.5/0.5;-0.55/0.55;-0.6/0.6;-0.65/0.65;-0.7/0.7;-0.75/0.75;-0.8/0.8;0.25/0.25;0.3/0.3;0.3/0.4;0.3/0.5;0.3/0.6;0.35/0.35;0.4/0.3;0.5/-0.5;0.5/0.3;0.55/-0.55;0.6/-0.6;0.65/-0.65;0.7/-0.7;0.75/-0.75;0.8/-0.8"
"mmlog_decode_2026-06-10_07-06-22","100","launch:18; mixed_launch:40; yaw_launch:42","SEC_20_LAUNCH:18; SEC_20_MIXED_LAUNCH:40; SEC_20_YAW_LAUNCH:42","0.25","0.8","0.25;0.3;0.35;0.4;0.5;0.55;0.6;0.65;0.7;0.75;0.8","-0.25/-0.25;-0.3/-0.3;-0.3/-0.4;-0.3/-0.5;-0.3/-0.6;-0.35/-0.35;-0.4/-0.3;-0.5/-0.3;-0.5/0.5;-0.55/0.55;-0.6/0.6;-0.65/0.65;-0.7/0.7;-0.75/0.75;-0.8/0.8;0.25/0.25;0.3/0.3;0.3/0.4;0.3/0.5;0.3/0.6;0.35/0.35;0.4/0.3;0.5/-0.5;0.5/0.3;0.55/-0.55;0.6/-0.6;0.65/-0.65;0.7/-0.7;0.75/-0.75;0.8/-0.8"
