model,physical_yaw_loss,failure_group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_delta_nm,rmse_delta_fraction,mae_delta_fraction,worsened_abs_residual_fraction,negative_opposes_target_fraction,mean_abs_forward_mps,mean_abs_yaw_radps,mean_vbar_rel_mps,limiter_activity_fraction,saturation_evidence_fraction
E1_viscous_yaw_rate_nnls,True,low_motion_near_zero_yaw,28208,48,0.0351250667234536,0.0351250667234536,0.024680484821327283,0.024680484821327283,0.016522676,0.016522676,-0.000108301,-0.000108301,0.0,0.0,0.0,0.0,0.5259855360181509,0.016696150884571753,0.06922834723145917,0.018700418443420304,0.05200652297220647,0.009110890527509926
E1_viscous_yaw_rate_nnls,True,in_place_or_scrub_yaw,18275,49,0.07503820163977237,0.07503820163977237,0.06273816672109439,0.06273816672109439,0.057172988,0.057172988,-0.008537151,-0.008537151,0.0,0.0,0.0,0.0,0.6616142270861833,0.018631762308016414,2.7252193897956225,0.17856173123452804,0.653844049247606,0.04930232558139535
E1_viscous_yaw_rate_nnls,True,slow_forward_turn,12359,49,0.05642986953236439,0.05642986953236439,0.04445143189877822,0.04445143189877822,0.03717947,0.03717947,0.001654582,0.001654582,0.0,0.0,0.0,0.0,0.6118618011165952,0.12177564969779109,2.29736207495833,0.17949930921943524,0.6929363217088761,0.21805971356905898
E1_viscous_yaw_rate_nnls,True,moderate_forward_turn,8848,41,0.06194143265560468,0.06194143265560468,0.04744316832470615,0.04744316832470615,0.034784586,0.034784586,0.011325130999999999,0.011325130999999999,0.0,0.0,0.0,0.0,0.6547242314647378,0.3797461482454792,3.86833349899401,0.20559362397038877,0.7321428571428571,0.07391500904159132
E1_viscous_yaw_rate_nnls,True,high_forward_turn,227,23,0.08577648908685956,0.08577648908685956,0.06309837744493392,0.06309837744493392,0.053159154,0.053159154,-0.001405412,-0.001405412,0.0,0.0,0.0,0.0,0.7797356828193832,0.6844540441674009,1.0906931629867842,0.21212250818502204,0.6475770925110133,0.1277533039647577
E1_viscous_yaw_rate_nnls,True,high_yaw_low_forward_scrub,1837,32,0.04150165975439666,0.04150165975439666,0.030521998525857377,0.030521998525857377,0.023501282,0.023501282,0.007645696,0.007645696,0.0,0.0,0.0,0.0,0.6880783886771911,0.06303092381273816,11.485263307843223,0.3744209698116494,1.0,0.11867174741426238
E1_viscous_yaw_rate_nnls,True,mostly_straight_forward,13657,41,0.0351270082074151,0.0351270082074151,0.019599740141465916,0.019599740141465916,0.009353048,0.009353048,0.001143435,0.001143435,0.0,0.0,0.0,0.0,0.5433843450245296,0.3759361387480413,0.08155053167767444,0.05534670244878084,0.103683092919382,0.007541919894559566
E1_viscous_yaw_rate_nnls,True,target_negative_over_resisted,66171,49,0.05271785261231283,0.05271785261231283,0.03543559092374303,0.03543559092374303,0.018163241,0.018163241,0.00018061,0.00018061,0.0,0.0,0.0,0.0,1.0,0.1303048510834958,1.253789042213175,0.09107952327805231,0.3054963654773239,0.046787867797071225
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,low_motion_near_zero_yaw,28208,48,0.0351250667234536,0.035681182565983086,0.024680484821327283,0.02555555996813722,0.016522676,0.017388962860432865,-0.000108301,2.898367546687463e-05,0.0005561158425294865,0.015832449427296336,0.0354561570870664,0.5792682926829268,0.5259855360181509,0.016696150884571753,0.06922834723145917,0.018700418443420304,0.05200652297220647,0.009110890527509926
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,in_place_or_scrub_yaw,18275,49,0.07503820163977237,0.07549371439612369,0.06273816672109439,0.06318828330782765,0.057172988,0.057406955298678126,-0.008537151,-0.007647323943149529,0.00045551275635132005,0.0060704114224119365,0.007174525655718966,0.681751025991792,0.6616142270861833,0.018631762308016414,2.7252193897956225,0.17856173123452804,0.653844049247606,0.04930232558139535
