model,physical_yaw_loss,dataset_split,physics_phase,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_delta_nm,rmse_delta_fraction,mae_delta_fraction,worsened_abs_residual_fraction,negative_opposes_target_fraction,mean_abs_forward_mps,mean_abs_yaw_radps,mean_vbar_rel_mps,limiter_activity_fraction,saturation_evidence_fraction
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,open_floor_validation_only,plateau,10533,9,0.013256838243914581,0.014516274658701213,0.007978205793411184,0.009331380275064709,0.004279471,0.00571307026859165,-0.000330051,-9.23232177818937e-05,0.0012594364147866313,0.09500277453900163,0.1696088715549362,0.597835374537169,0.49378144878002467,0.06423224187733789,0.06563382441602583,0.004084449076901167,0.0007595177062565271,0.0005696382796923954
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,open_floor_validation_only,exit,1905,9,0.025901922754757487,0.029091813675969573,0.01860998364776903,0.021862667056787397,0.012153925,0.015285449034216882,-0.004435259,-0.005163316058456757,0.0031898909212120866,0.12315266906686251,0.17478163713530726,0.6026246719160105,0.5013123359580053,0.06023274457900262,0.20174585911391074,0.009140894811023623,0.013648293963254593,0.010498687664041995
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,diag_validation_only,all,11108,3,0.0846209251204878,0.08590977778268746,0.0738060716588945,0.07590666114402932,0.082360023,0.08471035640323844,-0.006359523000000001,-0.00889637396743562,0.0012888526621996632,0.015230897799386245,0.02846093062428534,0.9427439683111272,0.9295102628736046,0.073418089350018,1.7368285434821749,0.14806281778718042,0.4445444724522866,0.0
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,diag_validation_only,entry,3215,3,0.10590823322237675,0.10646989846280917,0.10058718607029549,0.10150321817874222,0.110339143,0.11059745080450198,-0.026745843,-0.031189345654021185,0.0005616652404324268,0.005303319896320824,0.009106846947747105,0.9791601866251944,0.9763608087091757,0.06358588755832037,2.945326919440124,0.25225412633841365,0.7847589424572318,0.0
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,diag_validation_only,plateau,4712,3,0.06448450059620303,0.06646365393477235,0.05078566537882004,0.053665541526556525,0.0456507775,0.0505210952672124,-0.0027473784999999997,-0.004590535902239954,0.0019791533385693227,0.03069192317953462,0.056706476645623116,0.8885823429541596,0.8603565365025467,0.08873789165959253,0.8951050120967741,0.07662583680602716,0.1882427843803056,0.0
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,diag_validation_only,exit,3181,3,0.08665455675983384,0.08815922629510284,0.08083872540270355,0.08298217977682712,0.087034652,0.08903373439821312,-0.03620564,-0.040297183983696354,0.001504669535268996,0.0173639978269029,0.026515192606585636,0.986167871738447,0.9845960389814524,0.06066223278843132,1.762254196164728,0.14857712064508016,0.4803520905375668,0.0
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,aux_downweighted_validation,all,14448,13,0.05126637392308136,0.0522994894085316,0.03305637759772979,0.03498013595889799,0.016359514999999998,0.019219214048070508,-0.0012553224999999999,-0.0020793460028382185,0.0010331154854502436,0.020151912577244024,0.05819628468003479,0.7551910299003323,0.7105481727574751,0.1271730328765227,0.6327772372646734,0.0716380793941722,0.22605204872646734,0.0
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,aux_downweighted_validation,entry,2710,13,0.07408321980038726,0.07468059706260183,0.05146439698413284,0.053176788080047395,0.027799833,0.03113657454256881,-0.0034258485,-0.005442052738099678,0.0005973772622145657,0.008063597449249116,0.03327331507337994,0.7789667896678967,0.740590405904059,0.1617310791512915,1.398681233210332,0.14434705150295202,0.4033210332103321,0.0
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,aux_downweighted_validation,plateau,8708,13,0.03722139915039368,0.03865496039509864,0.023270042604501606,0.025273265536410187,0.011437506,0.013602155830382396,-0.000406586,-0.0007080910757685174,0.0014335612447049645,0.038514437324417505,0.08608591595449222,0.7333486449242076,0.6801791456132292,0.1165379610702802,0.25403603892971977,0.03341834847622876,0.13700045934772623,0.0
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,aux_downweighted_validation,exit,3030,13,0.06034861345329037,0.06131927909121332,0.04471765567821782,0.04660208328256429,0.030535899,0.033860555458224584,-0.0065930465,-0.009886626601305038,0.0009706656379229461,0.016084307200765036,0.04214057234812474,0.7966996699669967,0.7709570957095709,0.12682910544554454,1.03623549669967,0.11644867425181518,0.3234323432343234,0.0
