rel_speed_scale_mps,forward_speed_scale_mps,q_tanh_scale_m2ps,ridge_lambda,train_count,train_baseline_rmse_nm,train_corrected_rmse_nm,train_r2_vs_zero_correction,holdout_count,holdout_baseline_rmse_nm,holdout_corrected_rmse_nm,holdout_r2_vs_zero_correction
0.06,0.18,0.008,1e-07,65646,0.0389325863,0.0327446746,0.292616626,12836,0.0422858618,0.0305179984,0.479139146
0.06,0.18,0.008,1e-05,65646,0.0389325863,0.0327417636,0.292742394,12836,0.0422858618,0.0305209979,0.479036753
0.06,0.18,0.008,0.001,65646,0.0389325863,0.0327829132,0.290963524,12836,0.0422858618,0.0306484724,0.474675938
0.06,0.45,0.0008,1e-07,65646,0.0389325863,0.0326788866,0.29545621,12836,0.0422858618,0.0305129247,0.479312321
0.06,0.45,0.0008,1e-05,65646,0.0389325863,0.0326789281,0.295454417,12836,0.0422858618,0.0305124237,0.479329417
0.06,0.45,0.0008,0.001,65646,0.0389325863,0.0326864423,0.295130374,12836,0.0422858618,0.0304665009,0.480895512
0.06,0.45,0.0025,1e-07,65646,0.0389325863,0.0326773484,0.295522532,12836,0.0422858618,0.0302331769,0.488816064
0.06,0.45,0.0025,1e-05,65646,0.0389325863,0.0326772563,0.295526502,12836,0.0422858618,0.0302333355,0.4888107
0.06,0.45,0.0025,0.001,65646,0.0389325863,0.032674998,0.29562387,12836,0.0422858618,0.0302707015,0.487546341
0.06,0.45,0.008,1e-07,65646,0.0389325863,0.0325454318,0.301198923,12836,0.0422858618,0.0302910214,0.486858117
0.06,0.45,0.008,1e-05,65646,0.0389325863,0.0325392194,0.301465675,12836,0.0422858618,0.0302991704,0.486581987
0.06,0.45,0.008,0.001,65646,0.0389325863,0.0326056025,0.298612616,12836,0.0422858618,0.030375024,0.484008096
0.12,0.06,0.0008,1e-07,65646,0.0389325863,0.0325943349,0.299097294,12836,0.0422858618,0.0324064724,0.412682225
0.12,0.06,0.0008,1e-05,65646,0.0389325863,0.0325947709,0.299078543,12836,0.0422858618,0.0324018951,0.412848126
0.12,0.06,0.0008,0.001,65646,0.0389325863,0.0326568385,0.296406585,12836,0.0422858618,0.0320813623,0.424407362
0.12,0.06,0.0025,1e-07,65646,0.0389325863,0.0326578979,0.296360934,12836,0.0422858618,0.0311884754,0.456001228
0.12,0.06,0.0025,1e-05,65646,0.0389325863,0.0326581835,0.296348627,12836,0.0422858618,0.0311881337,0.45601315
0.12,0.06,0.0025,0.001,65646,0.0389325863,0.0327168054,0.293820233,12836,0.0422858618,0.0311983041,0.455658306
0.12,0.06,0.008,1e-07,65646,0.0389325863,0.032747801,0.292481542,12836,0.0422858618,0.0312997432,0.452112771
0.12,0.06,0.008,1e-05,65646,0.0389325863,0.0327480677,0.292470016,12836,0.0422858618,0.031301171,0.452062786
0.12,0.06,0.008,0.001,65646,0.0389325863,0.0327799777,0.291090498,12836,0.0422858618,0.0313963161,0.448726631
0.12,0.18,0.0008,1e-07,65646,0.0389325863,0.0325689462,0.300188776,12836,0.0422858618,0.0322001531,0.420136861
0.12,0.18,0.0008,1e-05,65646,0.0389325863,0.0325694239,0.300168245,12836,0.0422858618,0.032196362,0.420273397
