dataset_split,physics_phase,count,baseline_rmse_nm,corrected_rmse_nm,rmse_delta_nm,rmse_delta_pct,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,r2_vs_zero_correction,worsened_abs_residual_fraction,mean_prediction_nm,rmse_prediction_nm
aux_downweighted_validation,entry,2710,0.0740832198,0.0559018633,-0.0181813565,-24.5418012,0.051464397,0.0374452541,0.027799833,0.0212090078,-0.0034258485,-0.00183037426,0.430606023,0.223247232,-0.00472645613,0.0265313901
aux_downweighted_validation,exit,3030,0.0603486135,0.0434300404,-0.0169185731,-28.0347337,0.0447176557,0.0324735143,0.030535899,0.0247183341,-0.0065930465,-0.00520730567,0.482100045,0.212871287,-0.00437987724,0.0254179368
aux_downweighted_validation,plateau,8708,0.0372213992,0.0290758673,-0.00814553185,-21.8840023,0.0232700426,0.0190826077,0.011437506,0.0101853893,-0.000406586,-0.000269878472,0.38978909,0.275034451,-0.00154371596,0.0122124008
diag_validation_only,entry,3215,0.105908233,0.0778647824,-0.0280434508,-26.4790092,0.100587186,0.0728859067,0.110339143,0.0797378843,-0.026745843,-0.0166734835,0.459466391,0.0239502333,-0.0022297446,0.0318511723
diag_validation_only,exit,3181,0.0866545568,0.0645426027,-0.022111954,-25.5173587,0.0808387254,0.0595268568,0.087034652,0.0617340014,-0.03620564,-0.0242967154,0.445233614,0.0160326941,-0.00215090244,0.0266732193
diag_validation_only,plateau,4712,0.0644845006,0.0503730449,-0.0141114557,-21.8834846,0.0507856654,0.0403848171,0.0456507775,0.0377801671,-0.0027473785,-0.00225869914,0.389781002,0.150891341,-0.00165427125,0.018254291
open_floor_fit_downweighted,entry,8341,0.0561776902,0.0477104898,-0.00846720046,-15.0721762,0.0415421622,0.0342237266,0.030788281,0.0237502178,0.001756669,0.00125943475,0.278726475,0.392398993,0.000990383766,0.0307602357
open_floor_fit_downweighted,exit,8173,0.0531913084,0.0443179521,-0.00887335625,-16.6819665,0.0403126824,0.0321982091,0.031938671,0.0236313332,0.002346486,-2.67013441e-05,0.30581053,0.382845956,0.00237757086,0.0333475801
open_floor_fit_downweighted,plateau,14651,0.0243652357,0.0205871591,-0.00377807657,-15.5060128,0.0131019522,0.0113430933,0.005601714,0.00505502529,0.000276839,0.000245587537,0.286076613,0.382840762,-0.000232107974,0.015030572
open_floor_validation_only,entry,2104,0.0222248345,0.0229934319,0.000768597362,3.4582816,0.0148749717,0.0147305253,0.008434416,0.00745737192,-0.0029512495,-0.00237314463,-0.0703616031,0.448669202,6.99601248e-05,0.00445417216
open_floor_validation_only,exit,1905,0.0259019228,0.0264952122,0.000593289467,2.29052288,0.0186099836,0.0185505063,0.012153925,0.0117282761,-0.004435259,-0.00398893897,-0.0463351071,0.446194226,1.49398836e-05,0.00443259651
open_floor_validation_only,plateau,10533,0.0132568382,0.0132297517,-2.70865003e-05,-0.204320968,0.00797820579,0.00778453224,0.004279471,0.00408192657,-0.000330051,-0.000343217916,0.00408224466,0.437956897,1.34121471e-06,0.00185887663
primary_open_floor_fit_authoritative,entry,9719,0.0458370118,0.0388241862,-0.00701282565,-15.2994826,0.0335630327,0.027923926,0.024289024,0.0200690635,0.002079796,0.000994025097,0.282582235,0.399012244,0.000636172894,0.0256373053
primary_open_floor_fit_authoritative,exit,10820,0.0448069002,0.0350535565,-0.00975334371,-21.7675038,0.0342256684,0.0259102929,0.0273970075,0.0195174845,0.004929683,0.00108877063,0.387967654,0.356839187,0.00366065409,0.0257426347
primary_open_floor_fit_authoritative,plateau,26778,0.0287712713,0.022045412,-0.00672585926,-23.3769971,0.0190128305,0.0149257996,0.011055656,0.00947322344,0.001152246,0.000693577013,0.412891543,0.360407797,0.00148016332,0.0131657725
