vf_mps,yaw_rate_radps,variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,required_applied_bank_torque_nm,left_command,right_command,lr_delta_command,left_surface_mps,right_surface_mps,left_command_torque_nm,right_command_torque_nm,left_launch_torque_nm,right_launch_torque_nm,max_abs_command,command_outside_unit,contact_utilization_raw,limiter_activity_proxy,contact_projection_sensitive,low_speed_launch_sensitive,caveat
0.0,0.2,B_stribeck,0.00295885,0.0007180364186693447,0.0036768864186693447,0.0005478293582964546,0.20820369211864106,-0.20820369211864106,0.41640738423728213,0.0084635,-0.0084635,0.004668231333613108,-0.004668231333613108,0.00040040197531665246,0.00040040197531665246,0.20820369211864106,False,0.08099765281844126,0.0,False,True,request-activated Stribeck scrub
0.0,0.844444444,B_stribeck,0.012492922215646997,0.06489582296612374,0.07738874518177075,0.011530360686975,0.6277696064141375,-0.6277696064141375,1.255539212828275,0.03573477775897,-0.03573477775897,0.015250360686974999,-0.015250360686974999,4.608237110562176e-25,4.608237110562176e-25,0.6277696064141375,False,0.3419900894978683,0.0,False,False,request-activated Stribeck scrub
0.0,1.488888889,B_stribeck,0.022026994446088247,0.06518418665555997,0.08721118110164822,0.012993832264332534,0.6886658868508683,-0.6886658868508683,1.3773317737017365,0.0630060555602575,-0.0630060555602575,0.016713832264332533,-0.016713832264332533,7.673684805205212e-72,7.673684805205212e-72,0.6886658868508683,False,0.6029825265822837,0.0,False,False,request-activated Stribeck scrub
0.0,2.133333333,B_stribeck,0.03156106666173525,0.06517324235302697,0.09673430901476222,0.014412709123603139,0.7478080964968571,-0.7478080964968571,1.4956161929937142,0.09027733331922749,-0.09027733331922749,0.01813270912360314,-0.01813270912360314,1.84885893097964e-144,1.84885893097964e-144,0.7478080964968571,False,0.8639749632617107,0.0,False,False,request-activated Stribeck scrub
0.0,2.777777778,B_stribeck,0.041095138892176496,0.06505079771562462,0.10614593660780111,0.015814973245399325,0.8062968673839146,-0.8062968673839146,1.6125937347678292,0.117548611120515,-0.117548611120515,0.019534973245399326,-0.019534973245399326,6.445165119808532e-243,6.445165119808532e-243,0.8062968673839146,False,1.124967400346126,0.12496740034612608,True,False,request-activated Stribeck scrub
0.0,3.422222222,B_stribeck,0.050629211107823494,0.06487531702828246,0.11550452813610596,0.017209335378936562,0.8644748246235678,-0.8644748246235678,1.7289496492471357,0.144819888879485,-0.144819888879485,0.020929335378936563,-0.020929335378936563,0.0,0.0,0.8644748246235678,False,1.385959837025553,0.38595983702555303,True,False,request-activated Stribeck scrub
0.0,4.066666667,B_stribeck,0.060163283338264734,0.06466499733341713,0.12482828067168186,0.018598506755714637,0.9224486107203992,-0.9224486107203992,1.8448972214407984,0.17209116668077248,-0.17209116668077248,0.02231850675571464,-0.02231850675571464,0.0,0.0,0.9224486107203992,False,1.6469522741099683,0.6469522741099683,True,False,request-activated Stribeck scrub
0.0,4.711111111,B_stribeck,0.06969735555391174,0.06442681707718241,0.13412417263109416,0.019983527109093135,0.9802591221197241,-0.9802591221197241,1.9605182442394482,0.19936244443974252,-0.19936244443974252,0.023703527109093136,-0.023703527109093136,0.0,0.0,0.9802591221197241,False,1.9079447107893954,0.9079447107893954,True,False,request-activated Stribeck scrub
0.0,5.355555556,B_stribeck,0.07923142778435298,0.06416510925106686,0.14339653703541982,0.021365042027726634,1.0379317521575315,-1.0379317521575315,2.075863504315063,0.22663372224102998,-0.22663372224102998,0.025085042027726635,-0.025085042027726635,0.0,0.0,1.0379317521575315,True,2.1689371478738106,1.1689371478738106,True,False,request-activated Stribeck scrub
0.0,6.0,B_stribeck,0.0887655,0.06388363934323107,0.15264913934323107,0.022743612537580712,1.0954885679941748,-1.0954885679941748,2.1909771359883496,0.253905,-0.253905,0.026463612537580714,-0.026463612537580714,0.0,0.0,1.0954885679941748,True,2.429929584553238,1.4299295845532378,True,False,request-activated Stribeck scrub
0.03,0.2,B_stribeck,0.00295885,0.0007118031243571413,0.003670653124357141,0.0005469006427381526,0.19608404918461161,0.1509923478222319,0.04509170136237972,0.0384635,0.0215365,0.004266900642738153,0.0031730992956792367,1.400656459907872e-28,6.158261081673252e-11,0.19608404918461161,False,0.08099765281844126,0.0,False,False,request-activated Stribeck scrub
0.03,0.844444444,B_stribeck,0.012492922215646997,0.06452835553959832,0.07702127775524531,0.011475610710623776,0.6292822305347665,-0.6961317714843762,1.3254140020191427,0.06573477775896999,-0.005734777758970001,0.015195610710623777,-0.01708157632878504,6.058054358110924e-78,0.0018859656181612634,0.6961317714843762,False,0.3419900894978683,0.0,False,True,request-activated Stribeck scrub
0.03,1.488888889,B_stribeck,0.022026994446088247,0.06483539567754316,0.08686239012363141,0.012941864943096732,0.6902879628136361,-0.6829556872764034,1.3732436500900396,0.0930060555602575,-0.0330060555602575,0.01666186494309673,-0.01666186494309673,3.791099588108955e-153,8.356800285132361e-22,0.6902879628136361,False,0.6029825265822837,0.0,False,False,request-activated Stribeck scrub
0.03,2.133333333,B_stribeck,0.03156106666173525,0.0648349566980114,0.09639602335974665,0.01436230701915762,0.7494917380701432,-0.7421594625329104,1.4916512006030538,0.12027733331922749,-0.060277333319227494,0.01808230701915762,-0.01808230701915762,3.432637506193187e-254,5.357681723986477e-66,0.7494917380701432,False,0.8639749632617107,0.0,False,False,request-activated Stribeck scrub
0.03,2.777777778,B_stribeck,0.041095138892176496,0.0647217112790231,0.1058168501711996,0.01576594175765141,0.8080344202455915,-0.8007021447083587,1.6087365649539502,0.14754861112051498,-0.087548611120515,0.01948594175765141,-0.01948594175765141,0.0,4.969861610577188e-136,0.8080344202455915,False,1.124967400346126,0.12496740034612608,True,False,request-activated Stribeck scrub
0.03,3.422222222,B_stribeck,0.050629211107823494,0.06455618424322729,0.11518539535105078,0.017161786912940867,0.8662707100690467,-0.858938434531814,1.7252091446008606,0.174819888879485,-0.114819888879485,0.020881786912940868,-0.020881786912940868,0.0,6.670254369453155e-232,0.8662707100690467,False,1.385959837025553,0.38595983702555303,True,False,request-activated Stribeck scrub
0.03,4.066666667,B_stribeck,0.060163283338264734,0.06435699455181491,0.12452027789007965,0.01855261657935729,0.9243097226665362,-0.9169774471293035,1.8412871697958397,0.20209116668077248,-0.14209116668077248,0.02227261657935729,-0.02227261657935729,0.0,0.0,0.9243097226665362,False,1.6469522741099683,0.6469522741099683,True,False,request-activated Stribeck scrub
