phase,candidate_id,trial_id,split,stage,log_parameter,count,accepted_count,finite_count,nonfinite_count,rms_nis,accepted_only_rms_nis,expected_rms_nis,guarded_rms_nis,under_expected_penalty,inflation_flag,rejected_count,rejected_rate
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,held_out,launch,forward_accel_residual_tail,4500,4370,4500,0,10.0051383743,6.00782085572,1.73205080757,10.0051383743,0,false,130,0.0288888888889
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,held_out,launch,right_accel_residual_tail,4500,4487,4500,0,4.08413719675,3.70459463114,1.73205080757,4.08413719675,0,false,13,0.00288888888889
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,held_out,launch,yaw_rate_residual_tail,4500,4500,4500,0,20.0701432034,20.0701432034,1.73205080757,20.0701432034,0,false,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,held_out,yaw_launch,forward_accel_residual_tail,27500,27264,27500,0,5.5511586528,2.5916258513,1.73205080757,5.5511586528,0,false,236,0.00858181818182
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,held_out,yaw_launch,right_accel_residual_tail,27500,27259,27500,0,6.02787660931,2.19389407348,1.73205080757,6.02787660931,0,false,241,0.00876363636364
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,held_out,yaw_launch,yaw_rate_residual_tail,27500,27500,27500,0,159.414200835,159.414200835,1.73205080757,159.414200835,0,false,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,validation,SEC_20_LAUNCH,forward_accel_residual_tail,11936,11693,11936,0,9.24960007189,4.91123041929,1.73205080757,9.24960007189,0,false,243,0.0203585790885
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,validation,SEC_20_LAUNCH,right_accel_residual_tail,11936,11916,11936,0,3.13257161728,2.78929143304,1.73205080757,3.13257161728,0,false,20,0.00167560321716
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,validation,SEC_20_LAUNCH,yaw_rate_residual_tail,11936,11936,11936,0,13.7450566247,13.7450566247,1.73205080757,13.7450566247,0,false,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,validation,launch,forward_accel_residual_tail,6110,5879,6110,0,14.5837070382,5.33287264346,1.73205080757,14.5837070382,0,false,231,0.0378068739771
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,validation,launch,right_accel_residual_tail,6110,6075,6110,0,4.78234650169,3.48831014766,1.73205080757,4.78234650169,0,false,35,0.00572831423895
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,validation,launch,yaw_rate_residual_tail,6110,6110,6110,0,110.752289895,110.752289895,1.73205080757,110.752289895,0,false,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,validation,mixed_launch,forward_accel_residual_tail,18572,17246,18572,0,18.5916619985,6.59026881134,1.73205080757,18.5916619985,0,false,1326,0.0713978031445
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,validation,mixed_launch,right_accel_residual_tail,18572,18266,18572,0,6.94775938412,4.66048527073,1.73205080757,6.94775938412,0,false,306,0.0164764161103
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,validation,mixed_launch,yaw_rate_residual_tail,18572,18572,18572,0,57.9797980501,57.9797980501,1.73205080757,57.9797980501,0,false,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,validation,yaw_launch,forward_accel_residual_tail,30986,23333,30986,0,257.418183891,5.81427078349,1.73205080757,257.418183891,0,false,7653,0.24698250823
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,validation,yaw_launch,right_accel_residual_tail,30986,25395,30986,0,92.3230069127,5.16985782936,1.73205080757,92.3230069127,0,false,5591,0.180436326083
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_133,validation,yaw_launch,yaw_rate_residual_tail,30986,30986,30986,0,8320.74266669,8320.74266669,1.73205080757,8320.74266669,0,false,0,0
