candidate_id,trial_id,baseline_candidate_id,baseline_trial_id,split,source_log_count,bootstrap_iterations,observed_delta_vs_baseline,ci_low,ci_high,probability_candidate_better
candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_050,baseline/current_holdover,baseline/current_holdover:fixed,held_out,1,500,-46984.0742134,-46984.0742134,-46984.0742134,1
candidate_2_stribeck,candidate_2_stribeck:trial_013,baseline/current_holdover,baseline/current_holdover:fixed,held_out,1,500,-46935.1556669,-46935.1556669,-46935.1556669,1
candidate_3_load_sensitive,candidate_3_load_sensitive:trial_179,baseline/current_holdover,baseline/current_holdover:fixed,held_out,1,500,-46930.7973978,-46930.7973978,-46930.7973978,1
