calibration_set,steps,median_motion_fractional_samples,median_motion_fractional_ms,median_threshold_fractional_samples,median_threshold_fractional_ms,median_derivative_onset_samples,median_piecewise_ramp_onset_samples,recommended_integer_offset_samples,recommended_offset_reason,mean_y_plus_0,mean_y_plus_1,mean_y_plus_2,mean_y_plus_3,mean_y_plus_4,mean_y_plus_5,mean_y_plus_6
all_clean,100,7.059,7.059,7.825,7.825,5.000,2.000,4,"first aggregate nonbaseline sample is +4; motion threshold centers near +5, derivative onset near +5, and sustained threshold is deliberately later",0.000122,-0.002358,-0.003201,0.001967,0.040928,0.155196,0.350808
sustained_only,38,6.127,6.127,6.853,6.853,5.000,2.000,4,"first aggregate nonbaseline sample is +4; motion threshold centers near +5, derivative onset near +5, and sustained threshold is deliberately later",0.002829,-0.000547,-0.003247,0.001254,0.059768,0.221230,0.490139
above_threshold_0p65_0p70,40,6.127,6.127,6.883,6.883,5.000,2.000,4,"first aggregate nonbaseline sample is +4; motion threshold centers near +5, derivative onset near +5, and sustained threshold is deliberately later",0.001573,-0.000137,-0.001542,0.003253,0.060644,0.221087,0.490051
exclude_twitch_only,57,6.646,6.646,7.278,7.278,5.000,3.000,4,"first aggregate nonbaseline sample is +4; motion threshold centers near +5, derivative onset near +5, and sustained threshold is deliberately later",0.000397,-0.002690,-0.003269,0.002026,0.049694,0.189465,0.427059
