family,motion_class,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct,worsened_sample_fraction,mean_patch_delta_yaw_moment_nm,rmse_patch_delta_yaw_moment_nm
all,in_place_yaw,all:in_place_yaw,493183,0.358457371,0.324410099,-0.034047272,-9.498276,0.274906069,-0.001114730,0.017619273
all,moving_yaw,all:moving_yaw,604633,0.259057883,0.223947424,-0.035110459,-13.553133,0.317420650,0.001689046,0.024139022
all,mostly_forward,all:mostly_forward,1195941,0.104577079,0.076827851,-0.027749228,-26.534713,0.378233542,0.000326433,0.012324045
all,low_motion_commanded,all:low_motion_commanded,701127,0.159410197,0.142004015,-0.017406182,-10.919115,0.349049459,-0.000286690,0.008645149
open_floor,in_place_yaw,open_floor:in_place_yaw,302259,0.205513948,0.195073483,-0.010440465,-5.080173,0.418191022,0.000292827,0.018374305
open_floor,moving_yaw,open_floor:moving_yaw,497103,0.206063378,0.180656271,-0.025407108,-12.329754,0.369042231,0.002648227,0.025291912
open_floor,mostly_forward,open_floor:mostly_forward,1046658,0.099300462,0.072046790,-0.027253672,-27.445664,0.381502840,0.000551571,0.012684837
open_floor,low_motion_commanded,open_floor:low_motion_commanded,516906,0.124240335,0.113370271,-0.010870063,-8.749222,0.400610556,0.000234061,0.007273573
competition,in_place_yaw,competition:in_place_yaw,190924,0.514826526,0.460011052,-0.054815475,-10.647368,0.048066246,-0.003343086,0.016352827
competition,moving_yaw,competition:moving_yaw,107530,0.425512443,0.362113899,-0.063398544,-14.899340,0.078778015,-0.002745175,0.017867263
competition,mostly_forward,competition:mostly_forward,149283,0.135937253,0.104369374,-0.031567880,-23.222391,0.355311723,-0.001252062,0.009413803
competition,low_motion_commanded,competition:low_motion_commanded,184221,0.231091206,0.201699766,-0.029391440,-12.718545,0.204374094,-0.001747863,0.011661986
