dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct,worsened_sample_fraction,mean_patch_delta_yaw_moment_nm,rmse_patch_delta_yaw_moment_nm
all_included,2994884,0.212190004,0.185832730,-0.026357273,-12.421543,0.342108409,0.000220668,0.015713313
open_floor_only,2362926,0.148593814,0.129786655,-0.018807159,-12.656758,0.387754420,0.000890102,0.016143312
competition_only,631958,0.361683931,0.317292935,-0.044390996,-12.273422,0.171435443,-0.002282381,0.013988906
fit_authoritative_open_floor,1182997,0.150058239,0.124194675,-0.025863564,-17.235684,0.358765914,0.001447063,0.016355173
fit_downweighted_open_floor,779760,0.174304915,0.158979944,-0.015324971,-8.792047,0.385436545,0.000503875,0.019525601
validation_only_open_floor,361987,0.068655577,0.068684688,0.000029111,0.042402,0.446681787,0.000001920,0.002145940
