run_id,family,recommendation,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps
2026-04-10_18-08-20,open_floor,fit_authoritative,4857,0.140495872,0.137417757,-0.003078114
2026-04-10_18-33-52,open_floor,validation_only,110947,0.096614485,0.096566226,-0.000048259
2026-04-11_06-58-25,open_floor,validation_only,47380,0.041232554,0.041030349,-0.000202205
2026-04-11_21-03-20,open_floor,validation_only,51298,0.037300776,0.037741372,0.000440597
2026-04-12_05-13-55,open_floor,validation_only,30819,0.033715100,0.033767398,0.000052298
2026-04-12_06-36-32,open_floor,validation_only,30496,0.031067678,0.030856754,-0.000210924
2026-04-12_06-44-12,open_floor,validation_only,30496,0.031067678,0.030856754,-0.000210924
2026-04-12_20-14-49,open_floor,fit_authoritative,84280,0.148181054,0.150023802,0.001842748
2026-04-12_22-27-00,open_floor,fit_authoritative,90374,0.150167695,0.149937105,-0.000230589
2026-04-13_16-42-46,open_floor,fit_authoritative,101048,0.149465808,0.142692694,-0.006773114
2026-04-14_02-00-02,open_floor,fit_downweighted,77516,0.098612910,0.091409299,-0.007203611
2026-04-14_04-43-48,open_floor,fit_authoritative,82879,0.149519603,0.138986090,-0.010533514
2026-04-14_05-26-35,open_floor,fit_authoritative,75029,0.104133667,0.098861299,-0.005272368
2026-04-14_05-40-35,open_floor,exclude,208,0.053098636,0.052647960,-0.000450677
2026-04-14_06-21-48,open_floor,exclude,148,0.071321778,0.070476943,-0.000844835
2026-04-14_06-37-59,open_floor,exclude,179,0.061524713,0.060940066,-0.000584647
2026-04-14_07-02-50,open_floor,exclude,159,0.064332248,0.063880630,-0.000451618
2026-04-14_07-17-42,open_floor,exclude,254,0.065495380,0.065020733,-0.000474647
2026-04-14_07-25-50,open_floor,exclude,211,0.076602403,0.075479613,-0.001122790
2026-04-14_07-40-05,open_floor,exclude,133,0.057000094,0.056422284,-0.000577810
2026-04-14_07-51-39,open_floor,exclude,211,0.076602403,0.075479613,-0.001122790
2026-04-14_07-53-57,open_floor,exclude,192,0.057428049,0.057122615,-0.000305434
2026-04-14_08-14-01,open_floor,exclude,155,0.062367878,0.061894434,-0.000473444
2026-04-14_08-34-57,open_floor,exclude,163,0.049166948,0.048420584,-0.000746364
2026-04-14_08-44-07,open_floor,exclude,384,0.078973890,0.077381586,-0.001592304
2026-04-14_08-58-04,open_floor,exclude,332,0.058488684,0.057801297,-0.000687386
2026-04-14_09-15-42,open_floor,exclude,263,0.061117754,0.060196857,-0.000920896
2026-04-14_16-34-17,open_floor,fit_downweighted,75003,0.105912581,0.097649841,-0.008262740
2026-04-15_01-22-20,open_floor,exclude,3787,0.086665976,0.075010663,-0.011655312
2026-04-15_02-09-58,open_floor,fit_downweighted,81998,0.131853013,0.126381571,-0.005471442
2026-04-16_02-43-36,open_floor,validation_only,8805,0.031513910,0.030399361,-0.001114549
2026-04-20_02-33-07,open_floor,fit_downweighted,27605,0.244044421,0.230990754,-0.013053667
2026-04-20_04-54-09,open_floor,fit_downweighted,102216,0.210433389,0.207184390,-0.003248999
2026-04-20_08-38-39,open_floor,fit_downweighted,184094,0.228911181,0.223503879,-0.005407302
2026-04-20_10-22-09,open_floor,fit_downweighted,88691,0.175460462,0.171125865,-0.004334597
2026-04-20_11-47-47,open_floor,exclude,31403,0.055647275,0.057449337,0.001802061
2026-04-20_12-10-58,open_floor,fit_authoritative,71739,0.165168075,0.156254648,-0.008913427
2026-04-20_23-05-07,open_floor,validation_only,7594,0.058254302,0.055134125,-0.003120177
2026-04-21_00-16-10,open_floor,fit_authoritative,95630,0.159117791,0.149760718,-0.009357072
