run_id,family,recommendation,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps
2026-04-10_18-08-20,open_floor,fit_authoritative,4857,0.140495872,0.133906182,-0.006589690
2026-04-10_18-33-52,open_floor,validation_only,110947,0.096614485,0.096846534,0.000232049
2026-04-11_06-58-25,open_floor,validation_only,47380,0.041232554,0.041663295,0.000430741
2026-04-11_21-03-20,open_floor,validation_only,51298,0.037300776,0.039246303,0.001945527
2026-04-12_05-13-55,open_floor,validation_only,30819,0.033715100,0.034330465,0.000615365
2026-04-12_06-36-32,open_floor,validation_only,30496,0.031067678,0.031442233,0.000374555
2026-04-12_06-44-12,open_floor,validation_only,30496,0.031067678,0.031442233,0.000374555
2026-04-12_20-14-49,open_floor,fit_authoritative,84280,0.148181054,0.159648162,0.011467108
2026-04-12_22-27-00,open_floor,fit_authoritative,90374,0.150167695,0.156597236,0.006429541
2026-04-13_16-42-46,open_floor,fit_authoritative,101048,0.149465808,0.127702970,-0.021762839
2026-04-14_02-00-02,open_floor,fit_downweighted,77516,0.098612910,0.080448891,-0.018164019
2026-04-14_04-43-48,open_floor,fit_authoritative,82879,0.149519603,0.097446952,-0.052072651
2026-04-14_05-26-35,open_floor,fit_authoritative,75029,0.104133667,0.088985287,-0.015148380
2026-04-14_05-40-35,open_floor,exclude,208,0.053098636,0.051368058,-0.001730578
2026-04-14_06-21-48,open_floor,exclude,148,0.071321778,0.067922245,-0.003399533
2026-04-14_06-37-59,open_floor,exclude,179,0.061524713,0.059226942,-0.002297771
2026-04-14_07-02-50,open_floor,exclude,159,0.064332248,0.062539180,-0.001793068
2026-04-14_07-17-42,open_floor,exclude,254,0.065495380,0.063676339,-0.001819041
2026-04-14_07-25-50,open_floor,exclude,211,0.076602403,0.072142057,-0.004460345
2026-04-14_07-40-05,open_floor,exclude,133,0.057000094,0.054716965,-0.002283129
2026-04-14_07-51-39,open_floor,exclude,211,0.076602403,0.072142057,-0.004460345
2026-04-14_07-53-57,open_floor,exclude,192,0.057428049,0.056670382,-0.000757667
2026-04-14_08-14-01,open_floor,exclude,155,0.062367878,0.060851064,-0.001516814
2026-04-14_08-34-57,open_floor,exclude,163,0.049166948,0.046367979,-0.002798969
2026-04-14_08-44-07,open_floor,exclude,384,0.078973890,0.072674259,-0.006299631
2026-04-14_08-58-04,open_floor,exclude,332,0.058488684,0.055763646,-0.002725037
2026-04-14_09-15-42,open_floor,exclude,263,0.061117754,0.057502432,-0.003615322
2026-04-14_16-34-17,open_floor,fit_downweighted,75003,0.105912581,0.078683464,-0.027229117
2026-04-15_01-22-20,open_floor,exclude,3787,0.086665976,0.039092191,-0.047573785
2026-04-15_02-09-58,open_floor,fit_downweighted,81998,0.131853013,0.107166106,-0.024686907
2026-04-16_02-43-36,open_floor,validation_only,8805,0.031513910,0.027735798,-0.003778112
2026-04-20_02-33-07,open_floor,fit_downweighted,27605,0.244044421,0.122383230,-0.121661191
2026-04-20_04-54-09,open_floor,fit_downweighted,102216,0.210433389,0.197655963,-0.012777427
2026-04-20_08-38-39,open_floor,fit_downweighted,184094,0.228911181,0.222677953,-0.006233228
2026-04-20_10-22-09,open_floor,fit_downweighted,88691,0.175460462,0.156317778,-0.019142684
2026-04-20_11-47-47,open_floor,exclude,31403,0.055647275,0.063364233,0.007716958
2026-04-20_12-10-58,open_floor,fit_authoritative,71739,0.165168075,0.122969674,-0.042198401
2026-04-20_23-05-07,open_floor,validation_only,7594,0.058254302,0.051266005,-0.006988297
2026-04-21_00-16-10,open_floor,fit_authoritative,95630,0.159117791,0.122590331,-0.036527459
2026-04-21_01-09-34,open_floor,fit_authoritative,85605,0.123748904,0.103570014,-0.020178889
2026-04-21_02-46-49,open_floor,fit_authoritative,69670,0.126578555,0.107111493,-0.019467062
2026-04-21_04-14-05,open_floor,fit_authoritative,63652,0.110390037,0.102434910,-0.007955127
2026-04-21_05-32-06,open_floor,fit_authoritative,220266,0.172914847,0.122310892,-0.050603956
2026-04-21_05-59-46,open_floor,fit_authoritative,85122,0.145070738,0.116316858,-0.028753881
2026-04-21_23-39-12,open_floor,fit_authoritative,26423,0.183083834,0.111071418,-0.072012416
2026-04-22_01-06-32,open_floor,fit_authoritative,26423,0.183083834,0.111071418,-0.072012416
2026-04-22_12-10-34,open_floor,fit_downweighted,53853,0.066866681,0.065409020,-0.001457661
2026-05-04_16-57-53,open_floor,validation_only,44152,0.094020399,0.094429123,0.000408724
2026-05-04_20-35-47,open_floor,fit_downweighted,88784,0.145587437,0.150571219,0.004983783
diag000,competition_diag,validation_only,66528,0.521205424,0.440368499,-0.080836925
diag001,competition_diag,validation_only,69508,0.523589305,0.449606831,-0.073982473
diag002,competition_diag,exclude,659,0.016301524,0.009642246,-0.006659278
diag003,competition_diag,validation_only,136780,0.256950649,0.223954140,-0.032996510
aux000,competition_aux,validation_only_downweighted,15020,0.469244603,0.326762819,-0.142481784
aux001,competition_aux,validation_only_downweighted,36846,0.334323785,0.268516025,-0.065807760
aux002,competition_aux,validation_only_downweighted,49201,0.259720334,0.214021949,-0.045698384
aux003,competition_aux,validation_only_downweighted,34895,0.306254529,0.216458845,-0.089795684
aux004,competition_aux,validation_only_downweighted,39898,0.297684085,0.212995715,-0.084688370
aux005,competition_aux,validation_only_downweighted,25510,0.362948297,0.302007685,-0.060940612
aux006,competition_aux,validation_only_downweighted,26162,0.239248633,0.210647584,-0.028601049
aux007,competition_aux,validation_only_downweighted,18923,0.370920003,0.303343683,-0.067576321
