family,motion_class,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct,worsened_sample_fraction,mean_patch_delta_yaw_moment_nm,rmse_patch_delta_yaw_moment_nm
all,in_place_yaw,all:in_place_yaw,493183,0.358457371,0.349400520,-0.009056851,-2.526619,0.253996995,-0.000241031,0.004739230
all,moving_yaw,all:moving_yaw,604633,0.259057883,0.248711818,-0.010346065,-3.993727,0.278196857,0.000582719,0.006506257
all,mostly_forward,all:mostly_forward,1195941,0.104577079,0.097789369,-0.006787710,-6.490629,0.352753188,0.000113726,0.002916990
all,low_motion_commanded,all:low_motion_commanded,701127,0.159410197,0.154089578,-0.005320619,-3.337691,0.339577566,-0.000034730,0.002218114
open_floor,in_place_yaw,open_floor:in_place_yaw,302259,0.205513948,0.201559037,-0.003954911,-1.924400,0.388263046,0.000091118,0.005141421
open_floor,moving_yaw,open_floor:moving_yaw,497103,0.206063378,0.197974598,-0.008088781,-3.925385,0.323725667,0.000836281,0.006840546
open_floor,mostly_forward,open_floor:mostly_forward,1046658,0.099300462,0.092748045,-0.006552417,-6.598576,0.356273969,0.000166347,0.003013122
open_floor,low_motion_commanded,open_floor:low_motion_commanded,516906,0.124240335,0.120742973,-0.003497362,-2.814997,0.390395933,0.000089362,0.002033152
competition,in_place_yaw,competition:in_place_yaw,190924,0.514826526,0.501033634,-0.013792892,-2.679134,0.041435336,-0.000766869,0.004021077
competition,moving_yaw,competition:moving_yaw,107530,0.425512443,0.408203125,-0.017309318,-4.067876,0.067720636,-0.000589479,0.004658897
competition,mostly_forward,competition:mostly_forward,149283,0.135937253,0.127661576,-0.008275677,-6.087866,0.328068166,-0.000255208,0.002124127
competition,low_motion_commanded,competition:low_motion_commanded,184221,0.231091206,0.222393650,-0.008697555,-3.763689,0.196986228,-0.000382919,0.002669528
