dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct,worsened_sample_fraction,mean_patch_delta_yaw_moment_nm,rmse_patch_delta_yaw_moment_nm
all_included,2994884,0.212190004,0.177995806,-0.034194198,-16.114896,0.357687977,0.000165957,0.024258302
open_floor_only,2362926,0.148593814,0.128804606,-0.019789208,-13.317653,0.405469744,0.001154997,0.024964907
competition_only,631958,0.361683931,0.296836461,-0.064847470,-17.929320,0.179029303,-0.003532121,0.021410642
fit_authoritative_open_floor,1182997,0.150058239,0.121579788,-0.028478451,-18.978265,0.373864008,0.001964628,0.024586765
fit_downweighted_open_floor,779760,0.174304915,0.159564865,-0.014740050,-8.456474,0.410954653,0.000521896,0.031090837
validation_only_open_floor,361987,0.068655577,0.068909571,0.000253994,0.369954,0.457787158,0.000003043,0.002906425
