dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct,worsened_sample_fraction,mean_patch_delta_yaw_moment_nm,rmse_patch_delta_yaw_moment_nm
all_included,2994884,0.212190004,0.191075678,-0.021114326,-9.950670,0.335210646,0.000223601,0.012059213
open_floor_only,2362926,0.148593814,0.133014323,-0.015579491,-10.484616,0.379949689,0.000743000,0.012397570
competition_only,631958,0.361683931,0.326906885,-0.034777046,-9.615314,0.167928881,-0.001718462,0.010699694
fit_authoritative_open_floor,1182997,0.150058239,0.128486689,-0.021571550,-14.375452,0.352058374,0.001193059,0.012569783
fit_downweighted_open_floor,779760,0.174304915,0.161881455,-0.012423460,-7.127430,0.374516518,0.000443156,0.014975404
validation_only_open_floor,361987,0.068655577,0.068616233,-0.000039343,-0.057306,0.441316953,0.000001481,0.001764542
