group,count,run_count,baseline_rmse_nm,standalone_rmse_nm,baseline_mae_nm,standalone_mae_nm,baseline_median_abs_nm,standalone_median_abs_nm,baseline_signed_median_nm,standalone_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_standalone_rmse_nm,prediction_median_nm,rmse_improvement_fraction,variant_c_rmse_nm,force_domain_stribeck_rmse_nm,rational_reserve_reference_rmse_nm,rational_residual_reference_rmse_nm,prior_force_level_testbed_rmse_nm
primary_open_floor_fit_authoritative,47317,15,0.03686617689817292,0.016676640322328618,0.02548019573497897,0.011956500762234255,0.016044601999999998,0.00891227395085601,-0.001648731,-0.00039587669546625043,0.036363316104137566,0.016429838391988034,-0.0005295368924302879,0.5476438913535645,0.024120243843366647,0.027907821180421354,0.02577081816016731,0.021083018384621146,0.01950812151012949
open_floor_fit_downweighted,31165,9,0.04319407311475569,0.027767199210489268,0.027849684900465264,0.017773527164798193,0.013314393999999993,0.008553021872664476,-0.000637863,-9.416571957281562e-05,0.04144061576044249,0.024950049117820883,-0.00017097903324902924,0.35715256265092515,0.033092937468878494,0.04150718685740355,0.03502542782372301,0.03282316561347566,0.035267314697039254
open_floor_validation_only,14542,9,0.016930709105159827,0.007657512738108285,0.010368821407646818,0.00559597630454305,0.005201232,0.004572122061819609,0.0008589390000000001,9.51236208489208e-05,0.01396477750956447,0.007943000755316091,-0.0003057172763651437,0.5477145882936132,0.014417143137851248,0.01139376781450519,0.018486286258366312,0.011206860684196811,0.009293772489079357
diag_validation_only,11108,3,0.08462092512247131,0.02103769865647195,0.07380607165700397,0.016276887636859333,0.0823600235,0.013472468991475636,0.006359523000000001,0.0022815316335265358,0.08439010276450122,0.0211201697449401,0.0029314139385166844,0.7513889309763013,0.03876675590868194,0.08441017836709906,0.05866585738673607,0.03848912769383371,0.02568541911037413
aux_downweighted_validation,14448,13,0.0512663739166604,0.019535129922993794,0.033056377596483943,0.010316053906457262,0.016359514999999998,0.00681090828108672,0.0012553225,0.0015359496120123499,0.05745404365918576,0.018276431494121823,0.0012212977501719405,0.618948475764046,0.028529439179585198,0.048819706958314515,0.04380279520077506,0.027490242677710965,0.027446247485824863
validation_non_authoritative,71263,34,0.050233832045862625,0.022260000109026033,0.0325015115601785,0.013543334917451254,0.014290832,0.007340623369758197,0.00043578499999999973,0.0004375508159605128,0.04895637249560505,0.018669662355608265,0.00030149223432589814,0.5568723467343077,0.03034172395599833,,0.03913695258701344,0.029680153603611304,0.028585353044834484
