group,count,run_count,baseline_rmse_nm,standalone_rmse_nm,baseline_mae_nm,standalone_mae_nm,baseline_median_abs_nm,standalone_median_abs_nm,baseline_signed_median_nm,standalone_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_standalone_rmse_nm,prediction_median_nm,rmse_improvement_fraction,run_id,present,dataset_split,family,variant_c_rmse_nm,force_domain_stribeck_rmse_nm,rational_reserve_reference_rmse_nm,rational_residual_reference_rmse_nm,prior_force_level_testbed_rmse_nm
2026-05-04_20-35-47,3456,1,0.03584595564794367,0.0113929394935698,0.02887679646180556,0.008242785640355762,0.025485003500000002,0.006171260889208781,-0.009360000500000002,0.0002666718528553922,0.03584595564794367,0.0113929394935698,0.0005251334443451672,0.6821694585167695,2026-05-04_20-35-47,True,open_floor_fit_downweighted,open_floor,0.028076443199331575,0.02095614161732105,0.034530682376903495,0.020127808869544805,0.01647254388265974
2026-05-04_16-57-53,1761,1,0.023277853459827615,0.009651573971734783,0.01794051859681999,0.007587844405905566,0.013238941,0.006136037251116296,0.000686103,0.0004707893216658113,0.023277853459827615,0.009651573971734783,-0.0003169317728560348,0.5853752585739382,2026-05-04_16-57-53,True,open_floor_validation_only,open_floor,0.01934116142597289,0.015366476488899375,0.026700826690124125,0.015838560861422477,0.010900274495035337
2026-04-22_12-10-34,2187,1,0.016217132975038465,0.012243128956853902,0.013081637976680384,0.010232118165368457,0.011327229,0.009585824303040854,0.003115614,0.0003006383485787342,0.016217132975038465,0.012243128956853902,-0.0005709608088022734,0.24504972761223456,2026-04-22_12-10-34,True,open_floor_fit_downweighted,open_floor,0.014402919863369421,0.01348701867968651,0.01761823285918028,0.013202689482483838,0.012118358812930297
2026-04-22_01-06-32,1031,1,0.04497527945188074,0.011405488954490128,0.03335614529679923,0.009219617989530544,0.026813516,0.008270213826167539,-0.009991152,-0.0007527555509029282,0.04497527945188074,0.011405488954490128,-0.0007562019282442671,0.7464053788327673,2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative,open_floor,0.018608488843215733,0.033937937440801695,0.018976872678118206,0.016861102635710126,0.01467238488490882
2026-04-21_05-32-06,8880,1,0.042584173842427964,0.015488624589309025,0.03655989283671171,0.01297639632907438,0.034704941,0.011786776911704027,-0.012155007499999999,-0.0007481555395484935,0.042584173842427964,0.015488624589309025,-0.0008689105099827382,0.636282139777543,2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative,open_floor,0.023754464601601764,0.027283610538090263,0.02697532019794098,0.017657454789089182,0.016287485899994517
2026-04-21_00-16-10,3757,1,0.039823975581998204,0.020339419415747066,0.028325331891935056,0.015243187263707854,0.019252262000000006,0.012058946234990335,-0.008941154,-0.0019046775959742292,0.039823975581998204,0.02033941941574707,-0.0025442803905109442,0.4892669775304609,2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative,open_floor,0.02774307957781035,0.03430247806398148,0.02852575395854002,0.026878339329649562,0.026919442727042133
2026-04-20_12-10-58,2925,1,0.040354823027093784,0.022719853957866572,0.02706600433162393,0.016930499577911196,0.015359406999999999,0.012947814513277686,-0.0036749550000000006,-0.0010931096431362512,0.040354823027093784,0.022719853957866572,-0.001267224949275672,0.43699780463384236,2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative,open_floor,0.02933811998534102,0.0356483649477145,0.030278981838700657,0.027977442201207736,0.02826572451210337
2026-04-20_08-38-39,7284,1,0.056225357740350174,0.036229477083746305,0.042291618711285006,0.028670826610528558,0.0368143275,0.027524931511503856,-0.00016737000000000013,-6.525432218901467e-06,0.056225357740350174,0.036229477083746305,-0.00016341728070345273,0.355638122374343,2026-04-20_08-38-39,True,open_floor_fit_downweighted,open_floor,0.04131229724660652,0.056141320109295866,0.042979737378658345,0.04248692457048695,0.04376311762102966
diag003,5580,1,0.08523812922561612,0.02077491052932964,0.07495094215143369,0.016462080422684124,0.085086003,0.014020677368259786,0.012440089500000001,0.0033696806844269187,0.08523812922561612,0.02077491052932964,0.004001562084911942,0.7562720965597368,diag003,True,diag_validation_only,competition_diag,0.03897045903766876,0.08503230164347471,0.05925178572270133,0.038712164739976,0.02623535386349149
