rank,family,dyn_k_mps,static_k_mps,static_fwd_k_mps,coefficients,train_rmse_nm,train_run_balanced_rmse_nm,launch_opposing_nm,launch_left_command,launch_right_command,launch_gate_pass,score
1,yaw_static_yield_patch,0.16,0.08,0.1,0.107125175615;0.859923691251;0.19614437231;0.220894015334,0.016676640322328618,0.016429838391988034,0.0074777605915693525,0.6475862793170275,-0.6475862793170275,True,0.019141116081126824
2,yaw_static_yield_patch,0.16,0.08,0.05,0.103044844233;0.874061643658;0.236971527479;0.224569987435,0.016704479044016153,0.01646431381545331,0.008637526775525782,0.7426299609185513,-0.7426299609185513,True,0.01917412611633415
3,yaw_static_yield_patch,0.16,0.05,0.1,0.104767458848;0.886524765963;0.189450668217;0.222837472987,0.016709661948509643,0.01645521361080908,0.007102362839453941,0.6339439013197509,-0.6339439013197509,True,0.019177943990131004
4,yaw_static_yield_patch,0.16,0.05,0.05,0.100891186711;0.895959787887;0.226955851521;0.226193981535,0.016736787163453035,0.016486622584596503,0.008108762328015117,0.7192292765784338,-0.7192292765784338,True,0.01920978055114251
5,yaw_static_yield_patch,0.08,0.08,0.1,0.11129931655;0.617855387869;0.187393182417;0.163337892476,0.0167553584235602,0.016490340623206586,0.007909322953567022,0.6561257743498894,-0.6561257743498894,True,0.019228909517041187
6,yaw_static_yield_patch,0.16,0.03,0.05,0.098298078396;0.912172338825;0.214665465626;0.228568118824,0.016776244051795286,0.016509570664877734,0.007123929834845297,0.665679552413672,-0.665679552413672,True,0.019252679651526945
7,yaw_static_yield_patch,0.08,0.08,0.05,0.107599592581;0.631411586145;0.226031332034;0.16667885186,0.016781782748890976,0.016521784720705205,0.009034875142295114,0.7436100947644548,-0.7436100947644548,True,0.019260050456996757
8,yaw_static_yield_patch,0.08,0.05,0.1,0.109363492553;0.639134214838;0.180971959041;0.165110773639,0.016786715983754922,0.01651332093637972,0.007583271491211479,0.6444412934311116,-0.6444412934311116,True,0.019263714124211878
9,yaw_static_yield_patch,0.08,0.05,0.05,0.105823657893;0.649057594596;0.216594573943;0.168173514383,0.016812253437725,0.01654191980246936,0.008561632712523321,0.7228451781206977,-0.7228451781206977,True,0.019293541408095406
10,yaw_static_yield_patch,0.08,0.03,0.1,0.106837769705;0.656049750227;0.173293639235;0.167630590005,0.016827809683550507,0.01653777787615193,0.006890663611556181,0.6116038842332686,-0.6116038842332686,True,0.019308476364973296
11,yaw_static_yield_patch,0.08,0.03,0.05,0.103595456996;0.663049220707;0.205107899048;0.170289846702,0.016849554592283572,0.01656265817107053,0.007652197160889761,0.6751263960954955,-0.6751263960954955,True,0.01933395331794415
12,yaw_static_yield_patch,0.04,0.08,0.1,0.117756735905;0.453085873451;0.177779459221;0.114858268117,0.01685657099838437,0.01658913041928704,0.008382124433740453,0.6569268706491393,-0.6569268706491393,True,0.019344940561277425
13,yaw_static_yield_patch,0.08,0.02,0.05,0.101843936188;0.670802400284;0.197149108903;0.171939903467,0.016876633361461127,0.016576817409060314,0.006617931232146974,0.6148892126761437,-0.6148892126761437,True,0.019363155972820175
14,yaw_static_yield_patch,0.04,0.08,0.05,0.114657128654;0.467155479463;0.213856982698;0.117925646491,0.016881751774089186,0.01661747006465875,0.00948497262856263,0.7351837549246395,-0.7351837549246395,True,0.019374372283787997
15,yaw_static_yield_patch,0.04,0.05,0.1,0.116294259405;0.471380793646;0.171183533306;0.116444044346,0.016886549837707498,0.016610092232849146,0.008110502990951386,0.6471609506246396,-0.6471609506246396,True,0.01937806367263487
16,yaw_static_yield_patch,0.16,0.02,0.05,0.0963051622377;0.920524849195;0.20596626488;0.23041983148,0.016804984564207252,0.016525272767979222,0.006018730530900993,0.5980442090972202,-0.5980442090972202,False,0.019401122933570922
17,yaw_static_yield_patch,0.04,0.05,0.05,0.113311870455;0.482371104073;0.204584474051;0.11926458818,0.016910548408200627,0.016635669335440376,0.009070966539652996,0.717071569056974,-0.717071569056974,True,0.019405898808516682
18,yaw_static_yield_patch,0.04,0.03,0.1,0.11428691148;0.486830021671;0.163474147968;0.118663377887,0.016925614518911666,0.016632319422194362,0.0074927569719729255,0.6188202675567748,-0.6188202675567748,True,0.01942046243224082
19,yaw_static_yield_patch,0.16,0.03,0.1,0.101826041465;0.906268054759;0.181318239675;0.225666320585,0.016752958853148134,0.01648223406817519,0.006344056301780458,0.5967319386630076,-0.5967319386630076,False,0.01942137764359396
20,yaw_static_yield_patch,0.04,0.03,0.05,0.111542781625;0.495182936252;0.193432554685;0.121121946413,0.016945787393745974,0.01665441961667032,0.008244771872792506,0.6754629049914216,-0.6754629049914216,True,0.01944395033624652
21,yaw_static_yield_patch,0.02,0.08,0.1,0.125174228692;0.337589007621;0.168057939996;0.0741391207799,0.01694704046675964,0.016698073328500256,0.008719321883464616,0.6465932869071175,-0.6465932869071175,True,0.01945175146603468
22,yaw_static_yield_patch,0.04,0.02,0.05,0.110120646029;0.502721021404;0.185910096233;0.122574758742,0.016971195533832376,0.01666712124685375,0.00729451822574083,0.6234318518515745,-0.6234318518515745,True,0.019471263720860436
23,yaw_static_yield_patch,0.02,0.08,0.05,0.122963726358;0.352997506805;0.201382003279;0.0768690732617,0.01697066460645218,0.016723379913297805,0.00982464824363153,0.7160251444940049,-0.7160251444940049,True,0.01947917159344685
24,yaw_static_yield_patch,0.02,0.05,0.1,0.124176999554;0.354111339188;0.160450615605;0.0754779885474,0.01697598952661467,0.01671781083073567,0.008493675555547356,0.6380663215913731,-0.6380663215913731,True,0.019483661151225018
25,yaw_static_yield_patch,0.02,0.05,0.05,0.122041289923;0.366641446841;0.191384182519;0.0779838272316,0.016998050245661426,0.016740267481867094,0.00945664331850768,0.6996760546512087,-0.6996760546512087,True,0.01950909036794149
26,yaw_static_yield_patch,0.02,0.03,0.1,0.122742877028;0.368780784419;0.151778251857;0.0773436141851,0.01701308014866047,0.016738497570708354,0.007947752451750362,0.6133307775827654,-0.6133307775827654,True,0.01952385478426672
27,yaw_static_yield_patch,0.01,0.08,0.1,0.13154871954;0.260550446505;0.157014209426;0.0440135868975,0.017008140634102456,0.016783329608613732,0.008756491664727514,0.6256249131361492,-0.6256249131361492,True,0.019525640075394514
28,yaw_static_yield_patch,0.02,0.03,0.05,0.120776630501;0.378722167975;0.179567936892;0.0795247489151,0.01703123955647798,0.01675756104415414,0.008706121583986023,0.6630474394427495,-0.6630474394427495,True,0.0195448737131011
29,yaw_static_yield_patch,0.01,0.08,0.05,0.130529700385;0.277701959212;0.187123664361;0.0462983394357,0.01702916080920783,0.016805070408901848,0.009878137202850362,0.6874054228217215,-0.6874054228217215,True,0.019549921370543108
30,yaw_static_yield_patch,0.01,0.05,0.1,0.130982447592;0.276033142983;0.147361416923;0.0450931196801,0.01703610711245284,0.016802268917738814,0.008555174467836652,0.6171558045996549,-0.6171558045996549,True,0.019556447450113663
31,yaw_static_yield_patch,0.02,0.02,0.05,0.119746522022;0.386163227572;0.171752840751;0.0807361047623,0.017054827866391897,0.016769077401050277,0.007844917617019168,0.6184932209285108,-0.6184932209285108,True,0.01957018947654944
32,yaw_static_yield_patch,0.01,0.05,0.05,0.129979475387;0.290189582498;0.175327732002;0.0471644684401,0.017055108167766956,0.016820982948807888,0.009529216693099914,0.6713779166526979,-0.6713779166526979,True,0.01957825561008814
33,yaw_static_yield_patch,0.005,0.08,0.05,0.135448023153;0.228359002945;0.169536589238;0.0264743223509,0.017058783223852212,0.016851757737905166,0.009537108263786218,0.6517057125139883,-0.6517057125139883,True,0.019586546884537988
34,yaw_static_yield_patch,0.003,0.08,0.05,0.136754585434;0.200924991751;0.155548219146;0.0172903475599,0.01706784482460008,0.016869804074391474,0.009049311305231723,0.6229623912566686,-0.6229623912566686,True,0.019598315435758802
35,yaw_static_yield_patch,0.01,0.03,0.05,0.129213946768;0.301705333104;0.161620953941;0.0483680318811,0.01708584073073179,0.016837010014524114,0.008837227497959009,0.6380152186207945,-0.6380152186207945,True,0.019611392232910405
36,yaw_static_yield_patch,0.005,0.05,0.05,0.135188107833;0.239914047158;0.154877626481;0.0271304629315,0.017083034748457647,0.01686662262284588,0.009170612565986221,0.6342439254228122,-0.6342439254228122,True,0.01961302814188453
37,yaw_static_yield_patch,0.003,0.05,0.05,0.136649632123;0.211952077965;0.138196408713;0.017836041821,0.01709073125580598,0.016883829405629668,0.008646218211132397,0.6033082429137157,-0.6033082429137157,True,0.01962330566665043
38,yaw_static_yield_patch,0.005,0.03,0.05,0.134858388002;0.250889279803;0.138043734891;0.0280427924242,0.01711068381533299,0.01688112971334235,0.008511678146922129,0.602242330495166,-0.602242330495166,True,0.01964285327233434
39,yaw_static_yield_patch,0.01,0.02,0.05,0.12859633696;0.309009817283;0.15255796521;0.049313111113,0.017107111417604324,0.01684738469586689,0.008067691540210408,0.5996720643304894,-0.5996720643304894,False,0.019653895262154993
40,yaw_static_yield_patch,0.005,0.08,0.1,0.135190769474;0.210063136331;0.14325219886;0.0247115924301,0.01704185778057184,0.01683468992316434,0.008422787607087982,0.5967325627034232,-0.5967325627034232,False,0.019763107506841095
