dataset_split,motion_slice,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_pct,mae_improvement_pct
aux_downweighted_validation,force_limited_or_saturated_contact,2685,13,0.09582500050610297,0.09213111546738917,0.08310173289832401,0.07813176382960407,0.099542782,0.093506736,-0.056318679,-0.0277601286676442,3.854823917771381,5.98058415316171
aux_downweighted_validation,general,3487,12,0.020501369425582727,0.018945650872218646,0.01205798409176943,0.011247717590257538,0.007023364,0.00658315,0.00104137,0.000864133,7.588364079829569,6.719750957914809
aux_downweighted_validation,high_forward_turn,246,11,0.065724010553284,0.06580666808537589,0.038631408646341465,0.038447984437120844,0.028283462500000002,0.02735438,-0.0084066065,-0.007618985,-0.12576458952527236,0.47480590443856985
aux_downweighted_validation,low_speed_low_yaw_breakaway,4965,13,0.03208130845156195,0.029409016056517804,0.02336257732406848,0.020569366253445177,0.017448015,0.01235573086310151,-0.001997117,-0.0014562380000000292,8.329748766572019,11.955920067713139
aux_downweighted_validation,low_speed_turn_scrub,778,13,0.061718553763024535,0.057585762223641486,0.04893211839588689,0.04451157794658567,0.036535638,0.031481493411903,-0.011784039,-0.010500276,6.696189860915044,9.034026308725684
aux_downweighted_validation,mid_speed_turn,858,12,0.051963315867438464,0.051389645568546874,0.042414162221445215,0.041452178613292194,0.0392990525,0.037305430338313836,-0.0019774615,-0.00167303743433089,1.103990939213844,2.268071695323096
aux_downweighted_validation,straight_or_near_straight,1429,12,0.01671875386426407,0.015966185832772442,0.00872297965920224,0.008024092543153729,0.005666479,0.005302071000000013,0.000679007,0.000678107,4.501340456361543,8.012022764620642
diag_validation_only,force_limited_or_saturated_contact,4498,3,0.1110900517827822,0.11107040944538375,0.10969091306714096,0.10966292664207156,0.11081147,0.11081070300000001,-0.09138374499999999,-0.09138374499999999,0.01768145489467415,0.025513895624402077
diag_validation_only,general,1416,3,0.028033500284151667,0.027591387053523573,0.01947488234675141,0.019044493683053006,0.012785607000000001,0.012445323500000001,-0.001034788,-0.0009831211267820722,1.5770889334074212,2.2099679784211808
diag_validation_only,high_forward_turn,39,3,0.0328062403400034,0.0328062403400034,0.02857690876923077,0.02857690876923077,0.027716951,0.027716951,-0.020300838,-0.020300838,0.0,0.0
