run_id,present,dataset_split,recommendation,family,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_pct,mae_improvement_pct,median_predicted_opposing_scrub_nm,median_residual_opposes_yaw_before_nm,median_residual_opposes_yaw_after_nm
2026-05-04_20-35-47,True,open_floor_fit_downweighted,fit_downweighted,open_floor,3456,1,0.035845955637305665,0.021128580068950017,0.028876796463541667,0.014243557209815945,0.025485003,0.009300958577522356,0.0093600005,0.00039883996513361,41.05728333000266,50.67473212342264,0.009728286809325262,0.014226537000000001,-0.005689157270400456
2026-05-04_16-57-53,True,open_floor_validation_only,validation_only,open_floor,1761,1,0.023277853453219116,0.015289065666438393,0.017940518580919933,0.011553318093305585,0.013238941,0.008784389880936806,-0.000686103,-0.0008056836387382166,34.31926316932778,35.60209510558547,7.263369885897245e-18,0.004123257,-0.002488413484996309
2026-04-22_12-10-34,True,open_floor_fit_downweighted,fit_downweighted,open_floor,2187,1,0.016217132966177106,0.013498658585659703,0.013081637973022406,0.011208676476001926,0.011327229,0.01020363684328878,-0.003115615,-0.0015713121260556365,16.762977686543774,14.317484560289717,2.472281787753606e-06,0.003561073,0.0013129166354481018
2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative,fit_authoritative,open_floor,1031,1,0.04497527944035794,0.03404458889504844,0.033356145290009694,0.01950965901744347,0.026813516,0.010401271,0.009991152,0.002570693590991553,24.303774609793745,41.51105036922029,0.01596577340802311,0.021702158,-0.00014086186532795766
2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative,fit_authoritative,open_floor,8880,1,0.04258417382836224,0.02783508710487629,0.0365598928268018,0.021514076361451553,0.034704941,0.01647244820870212,0.0121550075,0.0054767405000000005,34.63513647800924,41.153885588855616,0.006793384982513198,0.0153169765,-0.009819862051170525
2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative,fit_authoritative,open_floor,3757,1,0.039823975586254654,0.03514600677652352,0.02832533189938781,0.024898322925595635,0.019252263,0.017042044,0.008941154,0.004572806,11.746614296704587,12.09874251770459,0.0,-0.0029261,-0.009756569
2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative,fit_authoritative,open_floor,2925,1,0.04035482301988178,0.036503583837767924,0.027066004325470086,0.02470909063481511,0.015359407,0.014533702,0.003674954,0.002709251,9.54344213135677,8.70802229362328,0.0,-0.001905674,-0.00620762888973604
2026-04-20_08-38-39,True,open_floor_fit_downweighted,fit_downweighted,open_floor,7284,1,0.05622535775152191,0.05625959776146966,0.04229161872130697,0.04214696031917168,0.036814327499999994,0.03607882669715384,0.0001673695,2.67120623801217e-06,-0.060897807176375024,0.34204981154435876,0.0,-0.013760560500000001,-0.034363157
diag003,True,diag_validation_only,validation_only,competition_diag,5580,1,0.08523812922205401,0.08503396826948129,0.07495094215232975,0.07447914980272577,0.085086003,0.0847437075,-0.0124400895,-0.0105772635,0.2395183404845311,0.6294682042089824,0.0,-0.0847313015,-0.0847437075
