dataset_split,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_pct,mae_improvement_pct
aux_downweighted_validation,14448,13,0.05126637392308135,0.048945040795565886,0.03305637759772979,0.030609917627105278,0.016359514999999998,0.013844189,-0.0012553224999999999,-0.0009647955,4.527983841803068,7.4008713247289535
diag_validation_only,11108,3,0.0846209251204878,0.08441199698509007,0.0738060716588945,0.07330765758440137,0.082360023,0.08201175599999999,-0.006359523000000001,-0.005830947808123762,0.24689890248806515,0.6753022661829446
open_floor_fit_downweighted,31165,9,0.043194073119807955,0.041880095058734225,0.027849684910123535,0.026067556659536712,0.013314394,0.010900419,0.000637863,0.000190965,3.042033237822078,6.399096637316023
open_floor_validation_only,14542,9,0.01693070910006944,0.011371864567424441,0.010368821404827396,0.007184395958611261,0.005201232,0.004461365266452201,-0.000858939,-0.00026800278252169847,32.832910303929324,30.71154687584422
primary_open_floor_fit_authoritative,47317,15,0.036866176895009706,0.028527902105821207,0.025480195736437217,0.01837154350352887,0.016044602,0.011130029205250164,0.001648731,0.0011495739999999725,22.617682362168637,27.898734791675192
